system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimateLAI,.geo
0_450,1.5674170902929072,0.6659822039698836,3.9877049180327866,1.5930208071045917,27.708063209284912,1.498,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_452,0.9913597089586175,0.5494168201350522,2.438692098092643,0.7988600378843919,21.45415744490336,0.958,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_463,1.3633400926998842,0.6129032258064516,3.166666666666667,1.2541740866685807,31.791684918332408,1.497,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_487,1.5677491601343785,0.6387543252595156,3.5363984674329503,1.593698657761292,27.333237685150678,1.548,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_505,1.260704824102027,0.6119174942704354,3.153543307086614,1.112081425811998,32.20968490657546,1.097,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_509,1.2362797758056983,0.578080229226361,2.7402376910016977,1.0804072444004869,32.52883903141278,1.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_546,1.4079213289298567,0.6682520808561236,4.028673835125448,1.320731898584058,39.61501310867941,1.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_550,1.5961214165261384,0.6842105263157895,4.333333333333333,1.6475505301171893,37.687036537102124,1.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_552,1.5866647213306098,0.6376811594202898,3.5199999999999996,1.6302789485031384,25.50015160658389,1.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_559,1.0692872279940044,0.5676410605030592,2.6257861635220126,0.8820846695972596,30.43493200643054,0.771,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_580,1.4879704371527414,0.6826180920037048,4.301556420233463,1.4499393141814363,40.278368443300074,1.458,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_623,0.8991493003120911,0.5008617718028266,2.0069060773480665,0.7059975989099841,26.42221934686175,0.76,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_631,0.5587982832618026,0.38526315789473686,1.2534246575342465,0.4067506418768938,20.684915382510646,0.877,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_636,0.704189887866783,0.4592445328031809,1.698529411764706,0.5276986859455453,18.3215725055157,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_639,1.5259541984732825,0.67773851590106,4.206140350877193,1.5160816096992298,38.12636701507128,1.553,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_660,1.4323234791106767,0.6602540834845735,3.886752136752137,1.3589143447028273,36.11701598399075,1.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_739,1.4476726651251635,0.6246368390470657,3.3281733746130033,1.3838890136221302,28.411984723218627,1.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_760,1.5143005862692456,0.6655074296553904,3.9792060491493384,1.4953858127772406,39.98904413258562,1.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_775,1.5014307082005593,0.6582801351858806,3.8527472527472524,1.47312423673068,36.44054329721265,1.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_786,1.2794565565886504,0.6236345580933466,3.313984168865435,1.1370631965726357,28.60469015820069,1.104,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_798,1.16872899887994,0.573109243697479,2.6850393700787403,0.9965899378434685,32.40190578442246,1.137,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_804,1.5471856622794735,0.6435768261964736,3.6113074204946995,1.5544079548889602,40.28181456585103,1.484,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_807,0.9142622566267887,0.531554977228367,2.2694444444444444,0.7207574754474194,27.78176189628021,1.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_840,1.4823688638525128,0.6431885280472375,3.6052009456264775,1.440734836958433,33.98539440652459,1.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_850,1.1734693877551021,0.5737898465171193,2.6925207756232687,1.002254368553351,34.67047344947062,1.017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_861,1.6412418364362997,0.6593699946609717,3.8714733542319753,1.739935469461205,32.098735028969074,1.572,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_882,0.6406240677763857,0.4466151749204907,1.6141215106732347,0.4737354974714776,17.814830115468705,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
