system:index,B4,EVI2,MSR,NDGI,RDVI,estimateLAI,.geo
0_2633,713.0,0.49251705185087086,0.35443792910078253,-0.007062146892655367,13.235300585678841,0.651,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2704,768.0,0.7651028106901865,0.5811388300841895,-0.09792709077912795,22.219682394541234,0.908,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2718,920.0,0.8940669267090946,0.701022710274488,-0.02564102564102564,29.10618999326543,0.928,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2742,618.0,1.0804386580951866,0.8944647697315581,0.051419800460475826,30.044630647547187,1.083,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2745,1332.0,0.48058061985092204,0.3451056870407282,-0.09719934102141681,17.622473625940074,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2790,970.0,0.6980554948656326,0.5223421997684609,-0.13716295427901523,22.5287882952227,0.567,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2854,626.0,0.8894536213468871,0.6966420509940445,-0.008051529790660225,23.86618377896505,0.943,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2860,995.0,0.6548527808069793,0.485609361803902,-0.1351968054763263,21.260800156992566,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2878,875.0,0.9180310440144589,0.724446080837057,-0.005169442848937392,29.288018636687045,0.886,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2917,1372.0,0.6537085694387288,0.48461497791618047,0.0043541364296081275,24.916165166899255,0.824,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2964,1344.0,0.3857824815897568,0.2730026371872582,-0.18466284706919348,14.05307534834162,0.196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2980,903.0,0.6117505287492008,0.4497870924761747,-0.12875,18.80037562197393,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3008,779.0,0.7752694891423215,0.5902462650698719,-0.006459948320413436,22.715609362156027,0.769,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3026,745.0,0.95374664388577,0.7601098196366066,-0.05524079320113314,28.287565714608657,0.827,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3030,1120.0,0.6441239524459169,0.4766032449026864,-0.15822130299896586,22.150549149511615,0.701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3069,804.0,0.9897052975743382,0.7969017005370759,-0.051667756703727925,30.732546457537584,0.896,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3122,854.0,1.0017331737713036,0.809421090802456,-0.057585139318885446,32.14421271331597,0.946,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3131,1150.0,0.6631598722524892,0.49259039490294254,-0.023131672597864767,23.17558539974103,1.008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3134,1186.0,0.29518520138190407,0.2063631182270742,-0.08508691674290943,10.006865774924865,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3180,1136.0,0.8264892400457429,0.6369414970574644,-0.08242020009528347,29.511428327240882,0.908,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3267,1032.0,0.6657887035411181,0.4948231079398685,-0.03303303303303303,22.050897059177426,0.464,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3332,1064.0,0.5547671268223454,0.40354009990098794,-0.12891246684350133,18.358456127692357,0.617,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3410,835.0,0.8629236799631081,0.6711715565008534,-0.05964467005076142,26.6009880849979,0.663,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3462,735.0,0.6203007518796992,0.45686271816936713,-0.08808290155440414,17.22116800484161,0.888,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3529,532.0,1.1707503378576885,0.9990599294427767,-0.020134228187919462,30.917959841854753,0.994,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3591,1013.0,0.7444661856426562,0.5627702135551226,-0.03525804803270312,24.741398380155548,0.707,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3681,1126.0,0.6144877299405207,0.4520151979201592,-0.16683937823834197,21.095050198023774,0.476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3714,641.0,1.0599936598510067,0.8718707637030502,-0.01584786053882726,29.87112951073855,0.9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3736,797.0,1.0610853964074907,0.873007096472913,-0.012063492063492064,33.34910518421461,0.967,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3770,1064.0,0.4376966215292025,0.31217548798862854,-0.05607940446650124,14.271247607945593,0.727,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3780,669.0,1.113994055449983,0.9323382831837955,-0.07642799678197908,32.50047241647372,1.095,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3807,942.0,0.99947543931957,0.8070397840989413,-0.06320541760722348,33.66583952053179,1.061,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3909,876.0,0.6614997284889174,0.49122241541543465,-0.05415162454873646,20.1726261104655,0.653,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3939,960.0,0.9281725399576353,0.7344547654330261,-0.10726643598615918,31.08060742656356,1.017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3945,1216.0,0.5887898842755204,0.4309777665711835,-0.047372954349698536,20.92746963751313,0.596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3958,758.0,1.123403528255948,0.9431226398937217,-0.022941970310391364,34.96966325354447,1.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3975,1254.0,0.7320996252445859,0.551867733063949,-0.09903593339176162,27.013038672204882,0.854,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3985,1104.0,0.6502975603988491,0.48177332069147594,0.013404825737265416,22.22335598014864,0.641,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4013,1009.0,0.9887080294542506,0.7958216011043698,-0.06490765171503958,34.384180581583564,1.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4038,866.0,0.8093401294944208,0.6211648650370156,-0.08317698561601,25.154519293075165,0.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4087,952.0,0.737951151552092,0.5570387753357845,-0.12463083284111046,23.749304155127593,0.721,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4106,617.0,1.0416087609094447,0.8518902691254916,-0.018992568125516102,28.67357322837759,0.638,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4131,803.0,0.9268006082669001,0.7331289594364754,-0.054497701904136574,28.376939578546505,0.911,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4144,659.0,1.1659048707327524,0.9931597747568179,-0.016975308641975308,34.22127728982312,1.079,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4165,998.0,0.6489681951049255,0.48067037842292176,-0.13473564525298465,21.08259547029178,0.566,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4196,755.0,1.0608607935440484,0.8727746175693221,-0.05964912280701754,32.45036898484244,1.189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4246,1110.0,0.8629661751951432,0.671165100399357,-0.07506053268765134,30.6698765919635,0.895,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4263,697.0,1.2275108420284255,1.0691073353001352,-0.016776075857038657,37.69495731682994,1.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4271,1218.0,0.6442421418587148,0.4766935950722553,-0.10076818798011748,23.103569197292966,0.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4295,689.0,1.2045062574625214,1.0402339147032553,0.02061122956645345,36.53552039827986,1.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4296,774.0,0.9234417668758682,0.7298115683552078,-0.11607786589762076,27.739915512152503,1.118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4317,680.0,1.073279052553664,0.886484436567597,-0.059190031152647975,31.251322552658834,1.065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4424,1256.0,0.7200720072007201,0.541361793461856,-0.09598603839441536,26.53754904722669,0.713,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4540,1412.0,0.4700869153505361,0.3369874385217209,-0.15359477124183007,17.724632623160804,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4574,1064.0,0.4935013086102116,0.3551627818876719,-0.07042253521126761,16.20057350349918,0.896,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4641,608.0,1.130040803349054,0.9508769957717936,-0.008291873963515755,31.56013999790243,0.86,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4643,825.0,0.9799566630552546,0.7868204366212271,-0.07702349869451697,30.758367803563452,0.859,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4654,603.0,1.2326380307448965,1.0756824688383304,0.03132530120481928,35.26144154180842,1.116,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4703,805.0,0.8086236718556956,0.620520581949436,-0.0856372218476062,24.228280837198067,0.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4706,1082.0,0.6541193466832539,0.48498336715916507,-0.1461864406779661,22.143080912449175,0.603,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4738,719.0,1.0451863132346642,0.8557132769752287,-0.07473841554559044,31.083959200234055,0.662,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4747,788.0,1.0377111431190258,0.8476216018861505,-0.0457863304578633,32.25118851200732,0.899,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4800,590.0,1.2484410077326016,1.0960010350624951,-0.04056437389770723,35.49065262337303,1.205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4801,979.0,0.7874542237583837,0.6011997544742174,-0.16478286734086853,25.919385796076618,0.759,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4831,656.0,0.9846797414027274,0.7917493836076899,-0.07452907452907453,27.59028363219815,1.189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4842,1318.0,0.6880437243297435,0.5137207573088701,-0.11979609175870858,25.841325226120645,0.673,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4852,1016.0,0.6275198335284172,0.4627931431092912,-0.17592592592592593,20.502802010508994,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4940,697.0,1.109925418640649,0.9276735705373105,-0.029542097488921712,33.01799990330799,1.059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4943,952.0,0.8364503267705209,0.6462332865099786,-0.04500548847420417,27.39328103713783,0.94,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4945,1070.0,0.683043738765728,0.5094716535586867,-0.11458333333333333,23.09703886009856,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5027,919.0,1.014053170045259,0.8223614043705167,-0.0378317334839074,33.848615683387884,0.998,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5035,624.0,1.2190411818664606,1.0584410332043732,-0.03913405495420483,35.33542714133664,1.252,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5045,985.0,0.8909702209414025,0.6980131716110058,-0.04343220338983051,29.993572296159844,0.884,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5097,755.0,0.85595390524968,0.6645903181120327,-0.08321377331420372,25.057496230000186,0.913,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5098,593.0,1.1840457178644122,1.015119912826316,-0.0076465590484282074,33.1316932402749,0.944,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5114,703.0,1.082807832724859,0.8970666883150554,-0.08153846153846153,32.13184734777667,0.922,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5115,860.0,1.1153190683582654,0.9337877038912338,-0.03365384615384615,36.90270474195401,1.094,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5132,1272.0,0.6737816204532407,0.501571503835923,-0.12616201859229748,24.804627899192347,0.559,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5144,1062.0,0.6845872371225221,0.5107898185075959,-0.13219616204690832,23.068184496671197,0.642,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5157,957.0,0.48579137581068377,0.3491744447404302,-0.19699812382739212,15.110130475243457,0.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5184,569.0,1.1208174200535828,0.9402317184463762,0.03395585738539898,30.210920902757938,1.107,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5193,724.0,1.1571347554857565,0.9826596345614487,-0.019000703729767768,35.514955227592885,0.981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5210,1268.0,0.6290999965291034,0.4640809824010389,-0.10452961672473868,22.96674006082656,1.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5250,1144.0,0.7400571780117975,0.5588681567310078,-0.14917127071823205,26.116730043696727,0.59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5256,929.0,0.7808079049318766,0.5952027112530983,-0.14975247524752475,25.00667994570802,0.764,"{""type"":""MultiPoint"",""coordinates"":[]}"
