system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefAPAR,.geo
4_7166,909.0,1.1967591811958318,2.6530214424951266,0.6096199269916255,41.60181453649858,0.546,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7180,887.0,1.1589139016323484,2.7650862068965516,0.5950696188084912,39.387136177104026,0.446,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7188,1090.0,0.8993955094991364,1.8482944344703771,0.488623035421065,31.90300585810181,0.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7196,532.0,1.526319187397779,3.9039301310043673,0.7272494232248141,45.42253420592908,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7213,1074.0,1.0199202541493775,2.0176470588235293,0.5395498392282958,36.85168850049643,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7228,767.0,1.320572172592137,2.7441624365482236,0.6556677890011223,43.76306218344734,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7230,590.0,1.3515678644998854,3.0108695652173916,0.6668548842461886,39.68767109052253,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7250,598.0,1.4106079431044085,3.488888888888889,0.6877284595300261,42.561446902121276,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7254,894.0,1.2361586805440095,2.7335907335907335,0.6245275094498111,43.096923476087454,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7264,1030.0,1.18209179834462,2.792727272727273,0.60399846212995,43.56332365663005,0.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7280,431.0,1.4700511322132945,3.7712665406427224,0.7082910321489002,38.50263796530893,0.442,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7307,832.0,1.0585190920575411,2.6194029850746268,0.555318011758418,33.9698517576099,0.492,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7315,959.0,0.9573179960647797,2.2708333333333335,0.5134449518011162,32.236820290553766,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7316,741.0,1.14360442588367,2.6186868686868685,0.5891322428611034,35.38228392967086,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7342,594.0,1.4359887100850954,3.3355091383812008,0.696551724137931,43.58321410502142,0.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7368,539.0,1.1496199846815531,2.3280507131537242,0.5915119363395226,30.38667689343464,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7385,654.0,1.4411910292045844,3.3114754098360653,0.698339483394834,45.984475159770575,0.444,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7399,722.0,1.2906752284903877,3.122071516646116,0.6447724477244773,41.10898424293472,0.489,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7411,980.0,1.1912988848751374,2.765478424015009,0.6075290348418102,42.93300701919273,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7414,682.0,1.3349270762184096,3.1959798994974875,0.6608652411735455,41.911571326297036,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7417,1046.0,0.9218511551975016,1.9923371647509578,0.4983213429256595,32.17936839963644,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7426,1009.0,1.1827073672573165,2.9785992217898833,0.6042361247303393,43.14685968056279,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7434,920.0,1.1125399077687124,3.3681528662420384,0.5769142331570476,38.045733150920256,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7451,834.0,1.2121817455417134,2.6614420062695925,0.6154910096818811,40.538389162010645,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7464,663.0,1.4360658212560387,3.6805555555555554,0.6965675057208238,46.04727448410153,0.546,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7488,855.0,1.350592885375494,3.196463654223969,0.6664716208308953,47.721415825383566,0.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7489,635.0,1.2804878048780488,2.7170294494238156,0.64104013566987,38.1297656391862,0.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7516,1186.0,1.0425098288621646,2.262019230769231,0.5487920867414875,39.79026476726677,0.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7522,792.0,1.29693808281825,2.98705501618123,0.6470588235294118,43.348112110326234,0.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
