system:index,B8,GVI,NLI,RDVI,SGI,estimatefAPAR,.geo
8_1744,2474.0,3.8509803921568624,0.9998957685801083,40.776674706788135,7.755485893416928,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1751,2476.0,4.551569506726457,0.9999115945969619,42.07065407708765,9.136531365313653,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1774,2546.0,4.558951965065503,0.9999271869222776,43.79589612752807,10.788135593220339,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1791,2264.0,4.168949771689498,0.9999036274886397,40.25154379866722,9.165991902834008,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1808,2590.0,3.8501872659176026,0.9999215904088673,43.56578034380423,9.847908745247148,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1818,2774.0,4.165735567970205,0.9998960428178841,42.1383235461396,6.935,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1833,2360.0,4.09719222462203,0.9999138215819485,41.576620649295016,9.833333333333334,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1838,2626.0,4.0210325047801145,0.9998871853097292,40.74012206173795,6.750642673521851,0.527,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1844,2436.0,4.574370709382151,0.9999298991086402,43.32957817625186,11.711538461538462,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1847,2922.0,4.236559139784946,0.9998903795397627,42.14778046623675,6.243589743589744,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1887,3002.0,4.266666666666667,0.9998981410520077,43.22605090049162,6.540305010893246,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1966,2518.0,4.39186295503212,0.9999164115510405,42.70754317005358,9.50188679245283,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1977,2336.0,4.156732891832229,0.9999127747275401,41.35244689283651,9.815126050420169,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1994,2390.0,4.989974937343359,0.9998907641815752,39.97632534029116,7.660256410256411,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2002,2570.0,5.48989898989899,0.999931871084953,44.35595568814795,11.422222222222222,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2007,2418.0,4.507972665148063,0.9999011461065676,40.91961449461473,8.366782006920415,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
