system:index,B8,GNDVI,GVI,NLI,RDVI,estimatefAPAR,.geo
2_2166,1714.0,0.629277566539924,3.3948717948717952,0.9998407095911206,33.532600827778836,0.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2175,1810.0,0.6514598540145985,3.7382198952879584,0.9998022233996576,32.16781792165386,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2189,2242.0,0.6311385958530374,3.4220907297830374,0.9998579647462135,36.97500273483758,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2240,1710.0,0.6593886462882096,3.8717948717948714,0.999869370045594,34.83908300122326,0.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2243,1690.0,0.6455696202531646,3.6428571428571432,0.9998382540398855,33.288299442148286,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2258,2268.0,0.5576923076923077,2.5217391304347827,0.9997962812780162,33.00568675495465,0.411,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2268,2176.0,0.6404070863173765,3.5618448637316558,0.9998707574332426,37.53537144599799,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2308,2614.0,0.6455775889203651,3.642984014209591,0.9997927917275902,33.069153820091636,0.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2322,1986.0,0.6440397350993378,3.6186046511627907,0.9998605643190177,35.98319549801772,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2354,1802.0,0.6381818181818182,3.5276381909547743,0.9998583497001017,34.87311082005328,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2385,2414.0,0.5579219102936431,2.524087591240876,0.9998188034023779,34.771254058051234,0.422,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2424,2384.0,0.6140825998645904,3.182456140350877,0.999806474518148,33.858621816340616,0.426,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2436,2226.0,0.6705440900562851,4.070615034168565,0.9998478443847616,36.24097116220631,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2440,2072.0,0.6622543120738067,3.921615201900238,0.9998579244060017,36.24281804008552,0.408,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2484,1824.0,0.6358744394618834,3.4926108374384235,0.9998413099145238,34.139672543527865,0.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2552,1924.0,0.6195286195286195,3.2566371681415927,0.9998562955255504,35.42929159885005,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2566,1670.0,0.6567460317460317,3.8265895953757223,0.9998551505108095,33.92916200244318,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2577,2094.0,0.6340226297307843,3.4648187633262264,0.999844020014695,35.49731135312212,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2688,1762.0,0.6661938534278959,3.9915014164305953,0.9998679484896045,35.10641097449173,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
