system:index,B2,GVI,MSR,RDVI,SGI,estimateLAI,.geo
1_460,207.0,3.559006211180124,1.0748458586708078,26.497483635754676,4.3049853372434015,1.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_470,240.0,3.5476190476190474,1.5148565190201762,34.18955774723001,6.324503311258278,1.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_477,318.0,3.119507908611599,1.3737344806476113,36.69885280361566,5.634615384615385,1.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_485,255.0,3.353808353808354,1.5022957656799745,32.84647618188152,6.261484098939929,1.494,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_490,284.0,3.2288135593220337,1.253637150724287,32.79634508830381,5.078880407124682,1.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_499,296.0,3.303939962476548,1.204579209628319,34.64354170582671,4.860169491525424,1.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_531,244.0,3.5661252900232014,1.2667997708320835,32.68909911868148,5.138381201044386,1.501,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_539,326.0,3.1689059500959695,1.3331543074894106,34.96694555167116,5.443609022556391,1.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_553,200.0,3.6735751295336785,1.5027762362802013,33.145025784054255,6.263888888888889,1.507,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_617,404.0,2.8857142857142857,1.1969802771542108,34.69625066349253,4.8267223382045925,1.481,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_657,265.0,3.5280898876404496,1.1968949236113278,28.97072981515327,4.826347305389222,1.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_669,332.0,3.25250501002004,1.068387247700878,31.778670218010337,4.278225806451613,1.449,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_672,254.0,3.774774774774775,1.4611263391266318,35.614330918909864,6.057142857142857,1.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_686,303.0,3.2035398230088497,1.395867539928319,33.21797534693692,5.740181268882175,1.484,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_690,325.0,3.0518518518518523,1.3716405004214012,35.438387619011564,5.624678663239075,1.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_692,261.0,3.678571428571429,1.6214749946434706,36.55102040816327,6.872131147540983,1.545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_706,280.0,3.2404580152671754,1.4572430645462953,36.43005674918768,6.038043478260869,1.479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_717,386.0,2.9057971014492754,1.2211795163687078,33.75783750108574,4.933638443935926,1.468,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_736,208.0,3.7771084337349397,1.3226187425251807,29.797758019332985,5.394557823129252,1.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_744,234.0,3.3027718550106613,1.53510386224247,35.286234615566,6.426751592356688,1.552,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_754,390.0,3.14935064935065,1.3028036312971527,37.62832334262787,5.3029045643153525,1.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_826,264.0,3.520833333333333,1.5800080848306293,36.909539452072586,6.656441717791411,1.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
