system:index,B4,MSAVI2,NDGI,NDVI,RDVI,estimatefCOVER,.geo
0_273,1582.0,0.45141337736822607,-0.22351121423047177,0.29153605015673983,19.482811329581654,0.157,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_291,2454.0,0.31334426977628027,-0.21968190854870775,0.18579960185799602,14.425517463195403,0.063,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_325,2020.0,0.35624134266299734,-0.23471882640586797,0.21675067855758046,15.566864123110182,0.113,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_338,2054.0,0.390469139022116,-0.173043974871502,0.24262536873156343,17.868827192928403,0.116,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_344,1910.0,0.35294234856928597,-0.22593068035943517,0.21431509666803786,14.943772305816744,0.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_386,2326.0,0.32849010041081783,-0.20455722423614708,0.19654576856649394,14.955570354509057,0.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_399,2280.0,0.24699702947555124,-0.23711340206185566,0.14091936699321778,10.266824558300726,0.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_423,1438.0,0.4279544929504482,-0.17244190786791683,0.2722672064777328,17.11606012404842,0.076,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_427,2176.0,0.3337075402910159,-0.2455638236977676,0.20029400955531054,14.775671572395229,0.052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_465,1816.0,0.3897449859155131,-0.08095238095238096,0.24207011686143573,16.75712790305264,0.093,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_514,1666.0,0.3750498148065162,-0.2205128205128205,0.23084025854108955,15.1934281365691,0.199,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_631,2170.0,0.29860868753394243,-0.2204724409448819,0.17553191489361702,12.735442252301336,0.023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_632,2024.0,0.4374310609882741,-0.17061885482938113,0.27997154037709,20.992265350684274,0.159,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_665,2452.0,0.2825917592663245,-0.22355289421157684,0.1645655877342419,12.60834476651387,0.012,"{""type"":""MultiPoint"",""coordinates"":[]}"
