system:index,B4,GVI,NDGI,NDVI,RDVI,estimatefAPAR,.geo
2_9191,1114.0,2.7533206831119545,-0.027675276752767528,0.5605522682445759,39.91352585717134,0.474,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9202,966.0,2.9050701186623518,-0.020602218700475437,0.5787178368948975,39.19077875111769,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9206,1084.0,2.6870466321243525,-0.05807711078574915,0.5329599310641965,36.31174561285676,0.397,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9216,908.0,2.835518474374255,-0.03949627933600458,0.5598642753271934,35.96229241866843,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9221,1114.0,1.8927875243664718,-0.041121495327102804,0.4541891229789319,29.018384414073427,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9234,772.0,2.8796414852752883,0.005795235028976175,0.5938979484481852,36.61996132706863,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9251,842.0,3.216482164821648,-0.017522658610271902,0.6056206088992975,39.5744222271606,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9256,743.0,2.9858156028368796,0.06482064191315293,0.6388821385176184,40.9831812108677,0.468,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9276,993.0,2.207383279044517,-0.03761755485893417,0.49683303775019,31.213612207306646,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9277,940.0,3.04311377245509,-0.059154929577464786,0.5644114921223355,37.07973024187216,0.441,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9297,857.0,3.575757575757576,-0.03941782898726501,0.6174960946217363,41.335356461730726,0.412,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9309,1238.0,2.497536945812808,-0.0989791389258766,0.4828738512949039,33.412637492329424,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9324,1074.0,2.845303867403315,-0.0853966649823143,0.52832674571805,35.653248802845845,0.447,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9411,691.0,1.5,0.036933797909407665,0.4582516660133281,23.145111742430206,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9420,1078.0,2.6656596173212486,-0.04104297440849831,0.543026706231454,37.29925497064231,0.412,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9435,1098.0,2.7146042363433667,-0.10075187969924812,0.5042889390519187,33.56458684152073,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9453,1154.0,2.4054621848739495,-0.09591642924976258,0.4749772520473157,31.492102220632958,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9561,1220.0,2.4658273381294964,-0.04631217838765009,0.5191170674024438,36.97775487422184,0.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9568,980.0,2.848684210526316,-0.035940803382663845,0.5634743875278396,37.7569887629487,0.424,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9640,789.0,2.291866028708134,0.028923076923076923,0.5543631742445637,32.98810256807867,0.444,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9673,755.0,3.061742006615215,0.0914560770156438,0.6598332957873395,43.96193493650066,0.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9708,825.0,3.45721271393643,-0.00426049908703591,0.6309550436144039,42.18914763344044,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9719,1030.0,2.196190476190476,0.009615384615384616,0.5303237574099408,35.12168930640327,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
