system:index,EVI2,MSR,NDGI,NDVI,RDVI,estimateLAI,.geo
0_423,0.8544535152918241,0.6631302109684278,0.010897768552153606,0.46893285037614935,28.09295262486767,0.936,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_500,1.1791506676600378,1.009203914241581,0.09440267335004177,0.6029304029304029,31.502752946741705,1.077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_504,0.911605092882488,0.7181255213931751,0.05291005291005291,0.49392140231834886,29.374830890579705,0.878,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_516,0.5807966387939202,0.42449888743093467,-0.00458295142071494,0.3397590361445783,19.57672579291758,0.557,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_532,1.0734527318068465,0.8866529780167469,0.05912269548633185,0.5613515115589804,32.60674413204589,1.009,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_548,0.6949482607201497,0.5196553944844243,0.004476275738585497,0.39565217391304347,24.001449231606646,0.846,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_554,0.7770501417261265,0.5917795255241266,-0.0024174053182917004,0.4340309372156506,28.777265822302528,0.861,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_567,0.8712831502812751,0.679160629475459,0.06290956749672345,0.4763822775540095,24.895247399810398,0.698,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_582,0.6089583253165044,0.447465270513445,-8.658008658008658E-4,0.3538289547233091,21.164769232848,0.673,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_583,0.866731973252694,0.6747770146441847,0.004415011037527594,0.47435897435897434,27.789501799356,1.047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_601,0.5552059814191066,0.40387812377277504,0.02292490118577075,0.32679738562091504,19.80295085953349,0.617,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_608,1.1905443306050025,1.0231007891289001,0.09351305812973884,0.6072992700729927,31.789085947876195,1.065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_610,1.0793834400387368,0.8932884256768518,0.08068097705403404,0.5637513171759747,30.080240425692068,1.089,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_641,0.757487302235974,0.574367326462436,0.040983606557377046,0.4250614250614251,21.00508888849936,0.815,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_647,0.9434818931386437,0.7497165303293949,0.06406685236768803,0.5075720566682951,32.476679845032145,0.968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_656,1.0097312107326752,0.8178509868090366,0.034482758620689655,0.5353788353162179,30.257194324502937,1.025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_659,0.8848033770273273,0.6920868460976942,0.02785673678226265,0.4822888283378747,27.71797437660686,0.845,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_674,0.8775992219700829,0.6851723428903996,0.04186046511627907,0.47914032869785084,26.951377298868085,0.873,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_680,0.7714804356595402,0.5870130503043219,0.006165228113440197,0.4315937940761636,16.252242982881228,0.451,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_711,1.0212815624635256,0.8300254885084536,0.03559870550161812,0.5401234567901234,33.67876570272817,1.053,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_732,1.0434035672780557,0.8538010063357517,0.06932052161976665,0.5492021276595744,30.121120744315228,0.908,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_735,0.7071481962311656,0.5301692424198576,0.0192131747483989,0.40145170295924065,24.026808961145633,0.585,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_755,0.8398354921781913,0.6493854737279827,-0.0029615004935834156,0.4624338624338624,28.431222125233933,1.031,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_770,0.805709906112282,0.617809535238216,0.05195989061075661,0.44710260499734183,27.423103063029338,0.791,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_776,0.7274206364221121,0.5477868984849293,-0.00272975432211101,0.4110101549973276,25.142267566508195,0.764,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_782,0.8667299027744841,0.674794993903713,0.022919179734620022,0.4743672939649578,26.334862516762232,0.729,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_786,0.7590911134085496,0.5757492598656263,0.01672962763086886,0.4257800189095493,23.983928067495555,0.759,"{""type"":""MultiPoint"",""coordinates"":[]}"
