system:index,B2,B8,GVI,NDGI,RDVI,estimatefCOVER,.geo
0_2224,625.0,2106.0,1.562043795620438,-0.10359869138495092,19.592022305959212,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2249,868.0,2140.0,0.9925512104283054,-9.302325581395349E-4,18.762193381838713,0.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2260,63.0,880.0,6.096774193548387,0.2849740932642487,26.326174036686478,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2292,141.0,843.0,2.939252336448598,0.14745308310991956,21.60838160734447,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2302,349.0,2148.0,2.6283783783783785,-0.03896103896103896,28.559786519262097,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2324,302.0,2220.0,3.693446088794926,0.06531531531531531,35.16307900678198,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2349,108.0,936.0,4.410404624277457,0.3359073359073359,26.588478001318812,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2350,101.0,1005.0,4.050251256281407,0.23219814241486067,26.21977360506374,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2390,631.0,2520.0,1.9132947976878611,0.041541240216736906,29.9384974719938,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2408,416.0,2337.0,2.787682333873582,-0.013589128697042365,31.243762083573923,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2429,424.0,2596.0,2.7787481804949055,0.04169825625473844,34.568037181010254,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2461,95.0,892.0,6.433333333333334,0.22448979591836735,26.227233338555582,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2484,715.0,2856.0,1.8249258160237387,-0.01509985387238188,29.05469797816457,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2494,838.0,1816.0,0.8587512794268168,-0.04168710152035311,14.054841459451355,0.114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2531,505.0,2249.0,2.1542776998597475,-0.01790633608815427,27.624005430738737,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2537,105.0,824.0,3.336842105263158,0.17647058823529413,22.336857751507402,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2568,358.0,2397.0,3.4720149253731343,-0.0945945945945946,31.695394453400485,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2620,128.0,1078.0,3.083333333333333,0.15283842794759825,24.78612921086836,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2654,147.0,1242.0,3.968,0.1415525114155251,27.872286157836704,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2716,311.0,1214.0,1.8036951501154737,0.037125748502994015,20.19925496126278,0.246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2736,394.0,1048.0,1.4834123222748814,0.0834403080872914,18.43486176009679,0.223,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2776,445.0,2210.0,2.458528951486698,-0.005447470817120622,29.265614472896182,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2777,85.0,911.0,5.553956834532374,0.2579185520361991,26.307519822179373,0.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2787,586.0,1802.0,1.2083333333333335,-0.11688311688311688,14.464079567732883,0.122,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2788,356.0,2230.0,2.8850174216027873,0.0351668169522092,32.23458881533985,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2808,460.0,2567.0,2.8835098335854767,-0.05907473309608541,31.68159794651429,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2830,880.0,2576.0,1.4210526315789473,-0.027422303473491772,23.87073295673788,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2836,874.0,1948.0,0.8517110266159695,-0.011278195488721804,15.857166690482112,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2841,78.0,887.0,5.117241379310345,0.22362869198312235,25.408310190998577,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2847,438.0,2336.0,2.5501519756838906,0.04196357878068092,31.91902049612685,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2892,469.0,2032.0,1.957787481804949,-0.023454157782515993,25.009765534547167,0.205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2919,131.0,1181.0,4.248888888888889,0.20320855614973263,28.297878450725417,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2925,611.0,2153.0,1.6449631449631448,-0.06221198156682028,22.199106405512183,0.219,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2944,761.0,2046.0,1.0078508341511285,-0.02720763723150358,17.360222413014764,0.193,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2960,78.0,1216.0,5.644808743169399,0.32608695652173914,31.039158096999216,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2971,198.0,1238.0,2.9053627760252367,0.15063520871143377,26.168558964162884,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2972,565.0,2855.0,2.382701421800948,-0.01574344023323615,32.502760112368435,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3008,114.0,1172.0,4.4766355140186915,0.32919254658385094,29.7397041007472,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3014,740.0,2705.0,1.5959692898272553,-0.11092150170648464,22.16399276964526,0.141,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3023,158.0,977.0,2.7576923076923077,0.18993135011441648,23.549792376378548,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3025,391.0,2144.0,2.4414125200642056,0.08442123585726719,31.312870838519625,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3033,147.0,926.0,3.079295154185022,0.1641025641025641,23.12121212121212,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3037,411.0,2543.0,2.9183359013867487,-0.023325808878856283,32.81577778274032,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3047,422.0,2076.0,2.6167247386759582,-0.004336513443191674,29.05290323600514,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
