system:index,B8,GVI,NLI,RDVI,SGI,estimatefCOVER,.geo
3_8989,2040.0,2.9766081871345027,0.9998106676751576,33.36334173757344,5.177664974619289,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8992,2374.0,2.152722443559097,0.9997714902102716,31.49100242815009,3.686335403726708,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8993,1648.0,2.788505747126437,0.999781312207749,30.633424291199105,5.548821548821548,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8998,2254.0,3.6378600823045266,0.9997886264913985,32.50052503503364,4.197392923649907,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8999,1490.0,3.7756410256410255,0.9998378582881439,32.056275367221964,8.277777777777779,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9006,1702.0,4.335423197492163,0.9998619263211235,34.44012161515195,8.51,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9044,1632.0,4.627586206896551,0.9998588382992718,33.847882073759365,8.680851063829786,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9076,1978.0,3.061601642710472,0.9998129240834686,33.29555310631271,5.404371584699454,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9085,1776.0,3.637075718015666,0.9998319829091747,33.44590577970332,6.7018867924528305,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9090,1988.0,2.9366336633663366,0.9998056939761084,32.93419265036259,5.177083333333333,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9094,1490.0,4.068027210884353,0.9998432625883111,32.261104230231275,8.563218390804598,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9111,2148.0,2.3457943925233646,0.9997754865073025,31.56876061332889,4.146718146718147,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9117,1700.0,3.6195652173913047,0.9998415350479148,33.492422330298275,7.423580786026201,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
