system:index,GVI,MSR,NLI,RDVI,SGI,estimatefCOVER,.geo
0_702,4.207692307692308,1.7275557628691003,0.9998014723768447,29.90418727647797,7.43956043956044,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_749,4.01123595505618,1.8738927014172362,0.9998190354589964,30.364189434266148,8.25925925925926,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_750,4.185714285714286,1.5831752007262416,0.9998348761586366,33.775726676209196,6.672794117647059,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_765,4.266233766233766,1.8197482852476146,0.9998449310703404,33.18377914354445,7.950980392156863,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_781,4.694779116465863,1.9404661983118654,0.9998368879818269,31.52784573817267,8.646341463414634,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_797,4.271523178807947,1.642433753256811,0.9998200964850956,31.972653150005385,6.982456140350878,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_821,4.602996254681648,1.9491819914350235,0.9998463042425391,32.41827947508473,8.69767441860465,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_824,3.9043478260869566,1.6890089681459284,0.9998365406982227,33.22227605339863,7.230769230769231,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_847,3.6730158730158733,1.7834094957538376,0.9998246402587202,31.446514483561792,7.747368421052632,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_850,4.407272727272727,1.7685643307693335,0.9998245426011017,31.536585365853657,7.664948453608248,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_857,4.27741935483871,1.9114745298257092,0.9998557919877878,33.74111875126855,8.476683937823834,0.393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_863,3.85131195335277,1.8016167838898998,0.999846882100662,33.5235652087757,7.849056603773585,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_890,3.668852459016393,1.6355912929387657,0.9997978284806416,30.202518809176524,6.946341463414634,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_894,3.867796610169491,1.7491625519132377,0.9998157384572266,30.899949645086487,7.557894736842106,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_916,4.580419580419581,1.9776948578836393,0.9998586792159523,33.60019304963846,8.866666666666667,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_940,3.8125,1.7360758598970005,0.9998347932334062,32.723285602486975,7.486111111111111,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_942,3.7905405405405403,1.6897386262518186,0.9998050643486563,30.417214522064455,7.23469387755102,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_948,4.022508038585209,1.5458452036268575,0.9998024658977044,31.110354096381133,6.481327800829876,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_962,3.5947955390334574,1.7621784210346785,0.9997879384078887,28.7243821300888,7.62962962962963,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_995,3.901960784313726,1.6291524102480943,0.9998071297123788,30.962891348391555,6.912442396313364,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_999,4.035598705501618,1.7350994919324656,0.9998281945894512,32.095238095238095,7.480769230769231,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1000,4.089655172413793,1.9552881095843915,0.9998448648189668,32.22497851235251,8.733727810650887,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1010,3.46070460704607,1.6522043726281792,0.9998272775922201,32.56535164341964,7.034188034188034,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1011,4.484126984126984,1.9575049354207297,0.9998345620763925,31.190408115982684,8.746835443037975,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1021,2.619047619047619,0.9591793788175288,0.9996572609611579,25.678435426034405,3.8383838383838382,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1026,3.020905923344948,1.1527977500477005,0.9998130406756665,34.16919454746934,4.634538152610442,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1030,3.717607973421927,1.5880713296868711,0.9997897463666784,29.902455797895566,6.69811320754717,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1049,4.204225352112676,1.746054683820155,0.999820568687405,31.33360024289582,7.540816326530612,0.381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1060,3.4289405684754524,1.394251756096653,0.9997964667582225,31.538029307458515,5.7324414715719065,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1061,3.6883561643835616,1.6428571428571428,0.9997908616128091,29.651102162060017,6.98469387755102,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1064,3.8882521489971342,1.8103644155426086,0.9998515796460724,33.9867452892889,7.898148148148148,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1089,3.9375,1.84476412498985,0.9998510437473614,33.67762467029818,8.092682926829267,0.393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1090,4.512727272727273,1.9602374533720808,0.999849462393661,32.67843035610463,8.763005780346822,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1102,3.8448844884488445,1.6630410135057114,0.9998079092217957,30.811133866660178,7.091787439613527,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1110,3.7067137809187276,1.7909628596974425,0.9998072582485862,29.946959099071098,7.7894736842105265,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1125,4.152777777777778,1.723967694375247,0.999818384567047,31.289165480794793,7.42,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1131,3.5273972602739727,1.5210650984790597,0.9997619990251114,28.47996658586569,6.355769230769231,0.334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1133,3.901587301587302,1.705094368968243,0.999822997491346,31.819370903152134,7.317535545023697,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1134,2.5936507936507938,1.3441726965110659,0.9996785343663928,25.315291348979315,5.495145631067961,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1135,4.419141914191419,1.6661254862112376,0.9998286601184174,32.60304212154572,7.108225108225108,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1136,2.8880407124681935,1.419588008374194,0.9997764497043954,29.95514627154747,5.854406130268199,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1147,3.6511627906976747,1.6967994498529684,0.9998281397692386,32.34769893475618,7.2727272727272725,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1153,4.448559670781893,1.742759062099198,0.9997992187785201,29.641232542974098,7.5227272727272725,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1167,3.66006600660066,1.7853620515548347,0.9998174455822333,30.807818916615894,7.758241758241758,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1168,2.8615384615384616,0.8084132011763586,0.9996954877131276,27.22365485522807,3.270358306188925,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1202,4.007142857142857,1.5962250702480736,0.9997883826123759,29.757153740869843,6.740384615384615,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1210,3.741741741741742,1.7100158756936514,0.9998275485911923,32.2035056291222,7.344186046511628,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1214,4.600790513833992,1.8294256868690022,0.9998237109736433,31.058288989108707,8.005649717514125,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1222,4.47972972972973,1.898990354885681,0.9998532920169193,33.54238304079029,8.404145077720207,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1235,3.9760273972602738,1.841165644981338,0.9998294961279044,31.501795747762408,8.072222222222223,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1245,3.8805460750853245,1.6033154216948284,0.9997936542319708,30.091886500359493,6.777251184834123,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1265,3.7445255474452557,1.790059343047124,0.999802386391404,29.58113632787852,7.7844311377245505,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1274,3.981132075471698,1.8072401063901486,0.9998397932136883,32.73430087509908,7.880597014925373,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1286,4.041139240506329,1.6727322645277312,0.9998242622165342,32.148642930779346,7.143497757847534,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1291,4.0,1.701351013344489,0.9998308327827778,32.57334495109355,7.297297297297297,0.351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1292,3.9823321554770317,1.7833887165203404,0.9998169273775048,30.77703901698905,7.747252747252747,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1315,3.8514285714285714,1.753244838886862,0.9998446293786424,33.62178695061197,7.580357142857143,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1325,3.854304635761589,1.6051942417096343,0.9997990110599747,30.47874056838567,6.787037037037037,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1328,3.5738636363636367,1.50780033096736,0.9998024962620875,31.344608128596256,6.2890625,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1337,2.6041666666666665,0.8152790681429936,0.9997076841485466,27.797414099132848,3.295238095238095,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1341,4.37037037037037,1.8123105996832762,0.9998062459267609,29.73351026456616,7.909090909090909,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1350,4.443478260869565,1.8329562343320847,0.9998009772527207,29.20849814071863,8.025641025641026,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1357,4.287878787878788,1.7848798098940564,0.9998152895131647,30.630597489080607,7.7555555555555555,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1368,3.9837133550488604,1.8377159087807518,0.9998376824470653,32.310269085417616,8.052631578947368,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1375,4.0,1.82494169258455,0.999845309938303,33.18765111462032,7.980295566502463,0.369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1430,3.7025495750708215,1.8318410392353566,0.9998497717728418,33.62741281069142,8.019323671497585,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1487,2.9603960396039604,1.3002185311411807,0.9998110178588123,33.26173695855976,5.291005291005291,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
