system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimatefAPAR,.geo
0_8420,1.6857667468658981,0.6476964769647696,3.676923076923077,1.83777732256256,28.804832257370887,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8424,1.7630440848214288,0.6740412979351033,4.135746606334842,2.0254298548225522,28.493007377603625,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8425,1.679157744468237,0.6891679748822606,4.434343434343434,1.8231844378946216,27.04067645824658,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8437,1.6267911134481396,0.672992700729927,4.116071428571429,1.7103789119150565,27.436562775947817,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8443,1.7002209673459365,0.665785997357992,3.984189723320158,1.8708587679228452,29.465584172666457,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8462,1.5495732107682205,0.6503703703703704,3.7203389830508478,1.5598713202953363,26.344471007176725,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8496,1.6987896329430339,0.6669029057406095,4.004255319148936,1.8677127163954592,28.443165201890714,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8540,1.7913832199546487,0.6674546887312844,4.014218009478673,2.1013193673309134,27.738751885482944,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8548,1.696969696969697,0.6686046511627907,4.035087719298246,1.8635642126552705,28.08682191379778,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8554,1.713331331631887,0.636650868878357,3.5043478260869563,1.9021998945011138,26.81816506711203,0.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8570,0.6633100739564618,0.46658179503500957,1.7494033412887826,0.4927289925706949,21.981663473434327,0.144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8580,1.2043795620437956,0.5825742574257425,2.791271347248577,1.0402205763103163,30.49447217004718,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8581,0.814463955637708,0.5192629815745393,2.1602787456445993,0.6261349479070502,15.952328983568512,0.153,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8591,1.0930988761207223,0.5862068965517241,2.8333333333333335,0.9086984494655951,28.07881134462286,0.228,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8599,1.5628457623368002,0.6286764705882353,3.3861386138613865,1.5842584932237325,28.90791482046077,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8603,0.6101117387033399,0.4242850445382091,1.4739413680781759,0.4484703305012987,16.78620381237739,0.075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8610,1.7583252729031364,0.6664238892935178,3.995633187772926,2.0131984799155,28.56576884325537,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8614,1.6496465043205029,0.6542455711667685,3.7844522968197882,1.7580321921677615,30.045396462086646,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8634,1.7005271955767003,0.6618357487922706,3.9142857142857146,1.8716851050325405,28.795112754051136,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8635,0.8995319508548398,0.5237234523271577,2.1992409867172675,0.706434029913139,23.26020391339498,0.222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8642,1.7589760103042986,0.698961937716263,4.64367816091954,2.0153926100248696,26.472696684032222,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8651,1.8133047210300428,0.7029478458049887,4.732824427480916,2.164385143014885,23.52104822160567,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8658,1.3697096364857804,0.6141592920353982,3.18348623853211,1.2635360623630403,31.44110556685396,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
