system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimateLAI,.geo
0_833,1.196530818457393,0.589157136806438,2.868041237113402,1.0305361171564822,29.43221458292351,0.969,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_846,1.2364760432766617,0.5789473684210527,2.75,1.0805910363170088,35.204762672988736,1.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_848,1.0240294167949378,0.4787510841283608,1.8369384359401,0.8329227783324779,36.0038447413355,1.348,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_877,1.2804450235541744,0.6158122297714639,3.205787781350482,1.1385571241906478,25.5980414087654,1.159,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_905,1.3494179618911362,0.6320754716981132,3.435897435897436,1.233916877456414,33.25324782892266,1.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_908,0.7595060760486084,0.4475886807493025,1.6204906204906204,0.5761561235661249,21.498851787712464,0.643,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_919,1.001254978992743,0.5296671490593343,2.252307692307692,0.8089902764894665,27.94290244590653,1.122,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_930,0.8608182609536706,0.4550218340611354,1.6698717948717947,0.6691174845580898,31.7430051280326,1.117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_947,0.9030606726990881,0.48657881893606636,1.8954372623574143,0.7097440066098187,31.343123479201708,1.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_991,1.1939025011461464,0.5828808687320345,2.7947932618683002,1.0271785161446458,33.779671583198436,1.258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1026,1.1276988522353317,0.6054708048395582,3.0693333333333337,0.9483377275250594,25.598398549494362,1.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1050,0.9382486026084642,0.4558058925476603,1.6751592356687897,0.7445567519772939,26.694206209612048,1.039,"{""type"":""MultiPoint"",""coordinates"":[]}"
