system:index,EVI,GVI,MSR,RDVI,SGI,estimatefAPAR,.geo
1_8114,6.125204582651391,4.198795180722891,1.7453811946485922,33.856995786437764,7.537117903930131,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8116,10.373027259684362,3.919402985074627,1.8562940747731418,33.618817124712535,8.158415841584159,0.405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8129,8.364332603938731,4.291411042944786,1.9666513796135983,34.88540770873525,8.801020408163266,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8150,9.070221066319895,4.428571428571429,2.09164716754499,33.62666307403219,9.558282208588958,0.418,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8172,6.284853051996986,4.489855072463768,1.8949146746409171,36.226645046439984,8.380530973451327,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8173,6.934174932371507,4.293051359516617,1.8612787155134796,34.68682735364605,8.186915887850468,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8184,7.354838709677419,4.260869565217392,1.8788315742461754,35.388113598647735,8.287671232876713,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8192,6.5458333333333325,4.751633986928105,2.0515847214470897,35.585270011129715,9.312169312169312,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8196,8.488914819136523,4.172413793103448,1.908872369413698,33.87386934482454,8.461538461538462,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8215,7.595725734639359,4.206434316353888,1.868590866492124,36.55527783952273,8.228813559322035,0.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8246,10.522959183673471,4.295977011494253,2.0901816771716613,36.56748209217974,9.549222797927461,0.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8248,6.974050046339203,4.495145631067961,1.9661300479142676,34.609134248825114,8.797927461139896,0.404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8250,9.311926605504587,3.759420289855073,1.725777733674128,32.92210915278925,7.429864253393665,0.409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8252,11.944894651539709,4.195583596214511,2.085487192304132,34.551092920167115,9.520231213872833,0.409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8256,9.490683229813664,4.152238805970149,1.9524856844990321,34.83540149768906,8.717171717171718,0.419,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8260,8.86696730552424,4.025210084033613,1.849148479602902,35.042186557200985,8.117647058823529,0.426,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8334,8.357064622124863,4.170149253731343,1.8996149727664298,34.66391788737063,8.407766990291263,0.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8341,7.023907666941468,4.333333333333333,1.8887415229138964,36.59653362085992,8.344827586206897,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8344,8.324579831932773,4.393939393939394,2.0212919634164996,35.66528645935496,9.128205128205128,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
