system:index,B2,B8,NDGI,NLI,RDVI,estimatefAPAR,.geo
8_495,409.0,2780.0,0.14005876591576885,0.999886399496742,41.261111732603325,0.492,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_501,365.0,2588.0,0.2581032412965186,0.9999077343819166,42.3418742069429,0.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_523,533.0,2880.0,0.25126475548060706,0.9998929455454497,42.25195186997998,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_539,497.0,3432.0,0.10142749812171299,0.9998984652806442,44.6423782462793,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_573,444.0,2764.0,0.225531914893617,0.9999047127902136,42.91191239112909,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_579,549.0,3216.0,0.12930374904361133,0.9998899762888267,43.02501192626161,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_586,508.0,3272.0,0.11904761904761904,0.9998963250402394,43.91980541340782,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_596,561.0,2656.0,0.20692497938994228,0.9998636392694523,38.8330947067204,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_611,458.0,3060.0,0.19853613906678866,0.9999064506145746,44.33255737293643,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_620,324.0,2730.0,0.25695216907675195,0.9999103744763682,43.28549947444246,0.497,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_633,555.0,2994.0,0.12395437262357414,0.9998714947172281,40.468973487426766,0.494,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_654,390.0,2470.0,0.2630480167014614,0.9998842860638626,39.84422821613649,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_661,488.0,2850.0,0.20390243902439023,0.9998995433655041,42.78289016192963,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_692,320.0,2584.0,0.2509457755359395,0.9999110425942735,42.608332233295414,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_693,443.0,2866.0,0.22140221402214022,0.9998972533282495,42.62214450196602,0.492,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_714,570.0,3286.0,0.1475177304964539,0.9998886871819956,43.06624628794198,0.508,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_716,412.0,2888.0,0.14207149404216315,0.9998877834008632,41.77383912546338,0.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_743,357.0,2734.0,0.15223880597014924,0.9998860228419857,41.057477463870114,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_784,620.0,2840.0,0.1864406779661017,0.9998631317634481,39.28512128932506,0.491,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_799,389.0,2880.0,0.0984360625574977,0.9998818549733631,41.17019751233589,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_820,489.0,2808.0,0.2261116367076632,0.9998962623107659,42.29652786951429,0.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_854,442.0,2752.0,0.21823472356935014,0.9998935820046377,41.81993322065486,0.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_863,372.0,2792.0,0.17705242334322452,0.9998932742236726,41.94973836185905,0.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_878,458.0,2526.0,0.22453016815034618,0.9998771365545704,39.50497318186748,0.491,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_881,360.0,2586.0,0.2629161882893226,0.9999040031149643,42.00932374763662,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_884,495.0,2886.0,0.1498371335504886,0.9998746626155319,40.49465275080712,0.501,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_891,355.0,2392.0,0.26878980891719745,0.9998996845656315,40.66921066091655,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_907,602.0,3012.0,0.1615326821938392,0.999876993645333,41.071489221730886,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_917,423.0,2732.0,0.23225806451612904,0.9999043431556657,42.73214169637663,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_946,424.0,2574.0,0.19776536312849163,0.9998916362994249,40.899471777528774,0.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_970,521.0,2666.0,0.16652286453839515,0.999864097538013,38.90159475277722,0.495,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1010,336.0,2456.0,0.2459396751740139,0.9998922460417412,40.40945147398839,0.492,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1019,436.0,2876.0,0.23107177974434612,0.9999054615537406,43.47622481624909,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1029,491.0,2980.0,0.17000871839581516,0.9998928033675957,42.59390497172971,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1034,373.0,2484.0,0.23636363636363636,0.9998979024793654,40.997568746046596,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1075,502.0,3206.0,0.1817440912795436,0.999902324539753,44.40550613593748,0.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1094,303.0,2358.0,0.29041095890410956,0.9999068416197833,41.03085598095187,0.512,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1095,501.0,3062.0,0.11412609736632083,0.9998816176658011,41.685026274883626,0.507,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1102,601.0,2952.0,0.1334760885082084,0.9998606985200422,39.30781044254461,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1115,418.0,2978.0,0.12419354838709677,0.9998775513931799,41.03608805160176,0.489,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1131,412.0,2654.0,0.23771313941825475,0.9998921082279401,41.2840858151813,0.496,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1134,514.0,2656.0,0.21811460258780038,0.9998800809496114,40.24240047155356,0.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1199,445.0,2724.0,0.1901608325449385,0.9998846455086405,40.89580669306014,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1200,436.0,2534.0,0.2277992277992278,0.9998754196023518,39.39710957255773,0.495,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1221,498.0,3212.0,0.16474464579901152,0.9999017199112455,44.35618439834754,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1255,359.0,2624.0,0.1824175824175824,0.9998919507365067,41.14314456211726,0.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1265,694.0,3018.0,0.20713305898491083,0.9998730911804737,40.68927810386928,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1275,345.0,2394.0,0.2782956058588549,0.999905434992926,41.12457165729812,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1285,385.0,2662.0,0.25485714285714284,0.9999079949820576,42.73488522265277,0.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1289,547.0,2634.0,0.21465076660988075,0.9998671166636425,39.059744636263055,0.494,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1315,455.0,2706.0,0.2130841121495327,0.9998850175553067,40.86224880055789,0.504,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1328,435.0,2700.0,0.2288911495422177,0.9998960273533104,41.82830787929951,0.501,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1334,387.0,2596.0,0.27901785714285715,0.9999041477466041,42.070956717304206,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1346,351.0,2644.0,0.2743142144638404,0.9999167504287997,43.43280462838618,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1350,462.0,2614.0,0.22424242424242424,0.9998876105236354,40.72762157847701,0.496,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1356,485.0,2764.0,0.19959058341862845,0.9998976451446168,42.24721223184929,0.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1367,501.0,2590.0,0.24285714285714285,0.9998735936548785,39.45361736299828,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1375,502.0,2822.0,0.22272317403065825,0.9998917644961179,41.921570529054634,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1383,332.0,2570.0,0.2662857142857143,0.9999028041605269,41.827837256553266,0.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1402,552.0,3088.0,0.15283842794759825,0.9998779404143692,41.36642928014993,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1431,492.0,2858.0,0.18484288354898337,0.9998920256273868,42.080945828471265,0.496,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1433,420.0,2618.0,0.16135662898252826,0.9998809511999127,40.17517820520806,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1441,425.0,2480.0,0.20404040404040405,0.9998718864588865,38.910868295862095,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1444,449.0,2916.0,0.1530008453085376,0.9998821669567217,41.313752713849915,0.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1452,667.0,3278.0,0.10861423220973783,0.999867113319768,40.58100091509007,0.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1453,365.0,2736.0,0.2458628841607565,0.9999147744160277,43.72915074872348,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1489,713.0,3076.0,0.1389786683904331,0.9998592329548757,39.39718129732429,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1504,518.0,2734.0,0.1857638888888889,0.9998745188271925,40.02116595794226,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1510,614.0,2894.0,0.1504424778761062,0.9998624610963093,39.3503585810993,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1562,438.0,2758.0,0.21526418786692758,0.9998945703049771,41.935784279843375,0.504,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1570,442.0,2746.0,0.20069204152249134,0.9998774694741186,40.32542189330222,0.491,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1594,462.0,2756.0,0.22151321786690975,0.999887571858894,41.2810912541127,0.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
