system:index,EVI2,GVI,MSR,NDGI,RDVI,estimatefCOVER,.geo
0_618,0.8055587370671553,2.0288248337028825,0.6176706208458793,-0.07297019527235354,27.469860216953837,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_628,0.42985434235023545,1.3585492227979277,0.3061955927565871,-0.1605045672031318,15.678239767782175,0.044,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_629,1.0214579659024101,3.649819494584838,0.8302472350702909,-0.16250944822373395,31.243529673954804,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_662,0.2954253827101549,1.1735395189003435,0.20652235890249693,-0.1977946243969676,12.123080143468014,0.073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_670,1.179908105455681,2.8893499308437067,1.0100323094561119,0.019027484143763214,35.72612151167292,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_690,1.0275040538854934,3.162962962962963,0.8366679993226577,-0.10477453580901856,32.75496077533762,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_701,0.5364611747590471,1.5388601036269431,0.38893263273195383,-0.13646532438478748,19.346862155626614,0.127,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_743,1.0525381126714388,2.7054794520547945,0.8637369043929317,-0.03231151615575808,29.190003990656194,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_780,0.9180491323348468,2.7742402315484807,0.7244634615817966,-0.11862244897959184,29.32214092371278,0.273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_788,0.44930629669156885,1.3282172373081464,0.32103472451061327,-0.14314618108244814,15.117890478107695,0.106,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_801,0.9823526471029345,2.729200652528548,0.7893240825152126,-0.07611152976639035,28.700662013270705,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_813,0.6896980241083633,1.5458468176914777,0.5151633061680106,-0.05166240409207161,22.88403082037685,0.168,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_828,0.35373255499284806,0.684297520661157,0.24919575965571023,-0.03815580286168521,12.658374688749166,0.217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_831,0.9278054807819602,2.4854771784232366,0.7341164622177502,-0.07367072389493914,29.025896715980473,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_834,0.9336339461209389,2.0177267987486966,0.7398840917485469,0.001566579634464752,31.23369808562374,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_838,1.2666348391716895,3.376753507014028,1.119864892037657,0.013197969543147208,32.861096837952,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_876,0.7389722601182357,2.090216010165184,0.5579299434130004,-0.12017887087758525,24.40258825078225,0.136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_877,1.1466814705156674,2.737313432835821,0.9703224463614221,0.019011406844106463,33.1278353849807,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_883,0.4740290640213771,1.3687943262411348,0.34003691170474204,-0.13761467889908258,17.17153279301351,0.112,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_887,1.077447335811648,2.6742770167427703,0.8911098054571808,-0.013513513513513514,31.288923962104825,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_923,1.1746709766797505,2.6133333333333333,1.003700280684418,0.05263157894736842,34.97720295757793,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_925,0.34222501757371715,1.3650615901455767,0.24070891049556437,-0.21147902869757174,12.536971730076397,0.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_929,1.018091995460311,2.362934362934363,0.826790833937442,-0.0038461538461538464,25.640212454261114,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_938,1.1597795380269207,2.758793969849246,0.9858904763815091,0.024013722126929673,31.581295791461073,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_980,0.6838972293955443,2.130801687763713,0.5102111458064508,-0.15708358032009484,22.090184807612598,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1022,1.1567643766325304,3.2468085106382976,0.9822042927679571,-0.03885480572597137,36.419283590597935,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1033,0.7807916234147223,2.1578947368421053,0.5951936738662353,-0.10754017305315204,24.558161058173592,0.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1082,0.7620808555294588,1.4146919431279619,0.5784304047968938,0.015643802647412757,22.828676251236153,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1141,0.5816130693254693,0.904669260700389,0.42517379008674144,0.0321285140562249,18.388498920231545,0.256,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1298,1.1284042684685427,2.970627503337784,0.9489002039890492,-0.022193211488250653,35.74553323321991,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
