system:index,EVI2,GNDVI,GVI,NDVI,RDVI,estimateLAI,.geo
0_1280,1.1140841644368766,0.5326186830015314,2.2791612057667106,0.5775535939470365,32.528113749662324,1.249,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1301,1.0340060010590104,0.5364442730428075,2.3144758735440933,0.5453840186190846,27.691333123893347,1.215,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1307,1.224122412241224,0.569377990430622,2.6444444444444444,0.6200607902735562,31.81099196388638,1.244,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1336,0.9484467232539101,0.48350398179749715,1.8722466960352424,0.5096960926193922,29.959553052453064,1.086,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1373,1.0319629031590276,0.5151352799357085,2.124861878453039,0.5445111960677226,32.9508015829515,1.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1375,0.8447019446680506,0.462478184991274,1.720779220779221,0.4646082143897466,27.222235432668747,0.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1394,0.834597875569044,0.4951555328913819,1.9616161616161616,0.4601593625498008,20.620069131698273,0.726,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1403,1.0804068938706752,0.5411111111111111,2.358353510895884,0.5641387087679729,33.59823739788612,1.196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1418,1.267284181303721,0.5867446393762183,2.839622641509434,0.6361809045226131,34.757841384189014,1.234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1420,1.2805835404945705,0.6412776412776413,3.5753424657534243,0.6412776412776413,22.40804304530838,1.209,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1426,1.20636017974421,0.5389773679798826,2.3381818181818184,0.6133567662565905,29.261682208892235,1.268,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1433,1.0861625664699353,0.5394983152377387,2.343089430894309,0.5664761904761905,29.023268169489373,0.956,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1455,0.941980228766627,0.4756222297988408,1.8140442132639794,0.5069637883008357,27.168718699379564,1.118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1475,1.4725612395048906,0.6474133601205424,3.6723646723646723,0.7092235539343408,31.068525180713642,1.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1480,0.9920973942759505,0.5316239316239316,2.27007299270073,0.5281409891984082,22.150462274303017,0.607,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1487,1.0888016214846719,0.5232595444337504,2.1951547779273217,0.5675140310333443,31.233901763089396,1.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1519,0.9053009927135801,0.44892039961327745,1.6292397660818714,0.4912106135986733,26.97189127109249,1.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1552,1.0640342335878645,0.5173315892740353,2.143631436314363,0.5575696542463914,30.432272273086284,1.084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1558,0.9659874538417048,0.46394714162596956,1.7309753483386925,0.5171181899374814,29.97055715066714,1.159,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1561,0.9447351532803476,0.5222780569514238,2.1865357643758765,0.5081314304679722,27.89174107234013,0.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1586,0.9912875956064178,0.5144157814871017,2.11875,0.5277458859548412,26.97705648753633,0.835,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1603,1.4534883720930232,0.6241180243745991,3.3208191126279862,0.7027572293207801,27.099470560145914,1.078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1614,1.1897232201588828,0.5655454259666771,2.6034732272069463,0.6069699903194579,33.78920762301034,1.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1636,1.0,0.5355045381740523,2.3057471264367817,0.531416400425985,23.029406584302887,0.84,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1714,1.0167293322545334,0.5924356048255625,2.9072,0.538267716535433,30.329845491842768,1.107,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1726,1.146101113967438,0.5519668737060042,2.463955637707948,0.5901569792108613,28.651498356670775,1.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1729,1.0604514597476158,0.5031645569620253,2.0254777070063694,0.5561015561015561,33.6567804428598,1.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1753,1.1790084719171636,0.5615474794841735,2.5614973262032086,0.6028880866425993,30.102172583118097,1.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1756,1.1504911051583213,0.5622019939315128,2.5683168316831684,0.5918727915194346,28.162200564516304,1.248,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1766,1.1113538310305282,0.5230927129661307,2.193687230989957,0.5764872521246459,30.635294130445743,1.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1809,1.3325045977794427,0.5731414868105515,2.6853932584269664,0.6600590468156896,32.14019925679606,1.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1832,1.1028488167612922,0.5296731196445573,2.252361673414305,0.5731070496083551,31.72342949796367,1.201,"{""type"":""MultiPoint"",""coordinates"":[]}"
