system:index,GVI,MSAVI2,NLI,RDVI,SGI,estimatefAPAR,.geo
1_1038,4.55,0.8873498648340501,0.9998309262872427,30.70388810784835,8.88,0.351,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1043,4.060109289617486,0.8212346629882177,0.999807010306874,32.553849113048464,5.595166163141994,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1102,3.772861356932153,0.865229725819745,0.9998334696895738,32.673201960653564,7.422018348623853,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1130,3.748344370860927,0.877926369714487,0.9998298104915511,31.386848278739162,8.194285714285714,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1145,3.3262032085561497,0.8102120616574666,0.9997654905163066,29.880463147717073,5.270358306188925,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1178,3.4726224783861674,0.8575637409242063,0.9998165156657015,31.609941177969244,7.02262443438914,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1185,3.331550802139038,0.8369949276484476,0.9997988313932755,31.240590940201397,6.136363636363637,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1225,2.349544072948328,0.7395207282620504,0.9997636980027541,30.925838507646123,3.8397212543554007,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1252,3.9309090909090907,0.8827051855676018,0.9998270700610965,30.753024482991673,8.528301886792454,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1270,4.122676579925651,0.8918372773773626,0.9998430780297131,31.450848337774364,9.248322147651006,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1277,3.402116402116402,0.827481142998522,0.9997927186466189,31.174916976440446,5.7979094076655056,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1281,3.6496815286624207,0.8739348723590865,0.9998273746308256,31.470219189953966,7.934782608695652,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1301,2.3144758735440933,0.7057711701240805,0.9997046854723899,27.691333123893347,3.3993174061433447,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1331,3.430678466076696,0.8461617270111219,0.9997952340957391,30.531368372590627,6.5021645021645025,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1348,4.113333333333333,0.876757479204116,0.9998393775668251,32.40258403458586,8.116402116402117,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1361,2.923076923076923,0.8191317660905497,0.999803039129955,32.301165824984345,5.530120481927711,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1422,3.301994301994302,0.8251177819774966,0.9997684580181059,29.582933316867248,5.71969696969697,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
