system:index,B2,B3,B4,B8,LAI,.geo
1_23786,636.0,771.0,916.0,1163.0,0.6245713829994202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23791,629.0,825.0,950.0,1231.0,0.6939114332199097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23817,719.0,1015.0,1108.0,1401.0,0.7064470052719116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23859,672.0,876.0,933.0,1241.0,0.7088441252708435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23862,667.0,830.0,958.0,1229.0,0.6597505211830139,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23881,645.0,800.0,916.0,1237.0,0.6605674624443054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23886,568.0,773.0,857.0,1083.0,0.6768166422843933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23888,657.0,839.0,913.0,1160.0,0.6008656024932861,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23908,613.0,781.0,930.0,1219.0,0.6451658010482788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23910,550.0,654.0,831.0,1073.0,0.5907543897628784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23923,549.0,713.0,809.0,1107.0,0.6755315065383911,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23924,614.0,740.0,852.0,1114.0,0.576262891292572,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23946,723.0,1032.0,1228.0,1715.0,0.6927996873855591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23959,606.0,800.0,863.0,1167.0,0.6308725476264954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23988,634.0,853.0,971.0,1240.0,0.6895996928215027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23991,642.0,816.0,924.0,1217.0,0.5833412408828735,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23998,645.0,814.0,942.0,1193.0,0.6797467470169067,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24004,673.0,856.0,919.0,1198.0,0.6869943141937256,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24009,608.0,769.0,950.0,1225.0,0.6592447757720947,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24015,648.0,739.0,1180.0,2068.0,0.6670888066291809,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24032,633.0,815.0,906.0,1203.0,0.6319653391838074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24035,550.0,694.0,822.0,1041.0,0.6400671005249023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24036,801.0,988.0,1071.0,1418.0,0.5874109268188477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24048,660.0,818.0,908.0,1176.0,0.6153695583343506,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24049,695.0,876.0,1012.0,1355.0,0.7154894471168518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24072,684.0,955.0,991.0,1278.0,0.5892717838287354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24074,638.0,771.0,927.0,1393.0,0.6107012033462524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24093,637.0,852.0,1244.0,1851.0,0.6132258176803589,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24100,539.0,749.0,772.0,1025.0,0.6005811095237732,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24116,716.0,941.0,1025.0,1325.0,0.6336467862129211,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24117,647.0,818.0,927.0,1177.0,0.5875648856163025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24137,670.0,857.0,963.0,1216.0,0.6877266764640808,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24142,635.0,806.0,941.0,1178.0,0.6655548214912415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24149,885.0,915.0,1374.0,2543.0,0.6544746160507202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24156,649.0,819.0,904.0,1153.0,0.5813882946968079,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24167,691.0,830.0,953.0,1226.0,0.6283887028694153,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24168,648.0,824.0,969.0,1194.0,0.6453427076339722,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24197,779.0,1084.0,1252.0,1680.0,0.6388100385665894,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24204,589.0,725.0,887.0,1151.0,0.6810551285743713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24209,726.0,1002.0,1133.0,1467.0,0.6902996897697449,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24218,598.0,758.0,877.0,1174.0,0.6379233598709106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24221,647.0,784.0,958.0,1221.0,0.600135326385498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24228,751.0,1002.0,1067.0,1312.0,0.66458660364151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24237,582.0,683.0,891.0,1145.0,0.6453489661216736,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24248,590.0,750.0,897.0,1195.0,0.6374484300613403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24257,734.0,961.0,1052.0,1275.0,0.6405582427978516,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24265,554.0,739.0,864.0,1125.0,0.6312032341957092,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24276,711.0,931.0,1038.0,1305.0,0.6456023454666138,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24289,625.0,807.0,901.0,1171.0,0.5988056063652039,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24299,647.0,838.0,943.0,1167.0,0.6254396438598633,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24358,546.0,689.0,828.0,1110.0,0.6858123540878296,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24369,702.0,899.0,947.0,1151.0,0.6615386605262756,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24409,593.0,774.0,890.0,1137.0,0.6402337551116943,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24417,610.0,757.0,903.0,1159.0,0.5878245234489441,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24456,682.0,826.0,1149.0,1856.0,0.5855216979980469,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24508,573.0,768.0,891.0,1158.0,0.6697066426277161,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24516,627.0,839.0,941.0,1221.0,0.6831664443016052,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24573,609.0,836.0,936.0,1188.0,0.6219930052757263,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24590,646.0,830.0,948.0,1238.0,0.6287726163864136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24596,662.0,782.0,1022.0,1587.0,0.5786769986152649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24606,624.0,791.0,906.0,1186.0,0.6798669695854187,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24616,711.0,916.0,1042.0,1306.0,0.6106072068214417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24631,614.0,788.0,893.0,1206.0,0.711159884929657,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24637,572.0,749.0,893.0,1125.0,0.6581274271011353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24642,651.0,826.0,908.0,1214.0,0.6415961980819702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24651,551.0,737.0,835.0,1090.0,0.6977668404579163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24659,554.0,724.0,834.0,1098.0,0.5876189470291138,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24670,535.0,703.0,810.0,1034.0,0.6723071932792664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24686,528.0,679.0,904.0,1146.0,0.6971465349197388,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24691,544.0,727.0,844.0,1118.0,0.663942277431488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24696,620.0,830.0,907.0,1179.0,0.6506748199462891,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24706,659.0,853.0,966.0,1214.0,0.6876407861709595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24714,610.0,847.0,983.0,1251.0,0.6908332109451294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24720,837.0,1092.0,1192.0,1772.0,0.5905930995941162,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24721,582.0,720.0,880.0,1130.0,0.6574593186378479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24749,563.0,690.0,837.0,1096.0,0.6396702527999878,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24752,677.0,874.0,1018.0,1327.0,0.6725135445594788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24758,812.0,1048.0,1104.0,1427.0,0.6654443740844727,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24795,694.0,858.0,955.0,1193.0,0.6562625169754028,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24797,589.0,784.0,912.0,1192.0,0.7028965950012207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24805,693.0,839.0,941.0,1239.0,0.6603148579597473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24808,621.0,834.0,870.0,1183.0,0.5818561911582947,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24818,662.0,805.0,1068.0,1643.0,0.6175526976585388,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24837,590.0,776.0,883.0,1178.0,0.6962063908576965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24847,550.0,754.0,857.0,1088.0,0.6888197660446167,"{""type"":""MultiPoint"",""coordinates"":[]}"
