system:index,B4,B8,NDGI,NLI,RDVI,estimatefCOVER,.geo
6_4676,719.0,3204.0,0.09559748427672957,0.9998599305399639,39.67502773336952,0.468,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4681,475.0,2421.0,0.1532976827094474,0.9998379314180352,36.161260214924646,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4721,505.0,2576.0,0.15622389306599832,0.9998478063240541,37.31077325269545,0.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4733,443.0,2457.0,0.19746376811594202,0.999853245461707,37.39904110885825,0.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4747,634.0,2871.0,0.09686609686609686,0.9998461776417746,37.785221544801466,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4750,485.0,2671.0,0.18005071851225699,0.9998640452345332,38.911830398911626,0.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4763,401.0,2239.0,0.2175609756097561,0.9998400326157938,35.77202648422198,0.464,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4789,427.0,2333.0,0.16110019646365423,0.9998431103393594,36.280089960420874,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4800,455.0,2466.0,0.15348837209302327,0.9998503685947687,37.20885380900912,0.472,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4807,739.0,2992.0,0.08312655086848635,0.9998349120381628,36.884896334314654,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
