system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefCOVER,.geo
1_2633,1941.0,0.4644478436790684,1.1056811240073303,0.2795100222717149,20.51687338609864,0.154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2644,1504.0,0.43386226287043916,1.010920436817473,0.2631063204311612,16.8100026217448,0.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2672,2093.0,0.4168032594951529,1.0997014925373136,0.2538324420677362,19.012032966110077,0.105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2674,2165.0,0.37642782969885774,0.9738339021615472,0.2315882874889086,17.384553925051566,0.105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2710,1545.0,0.5188536953242836,1.2263719512195124,0.3081056874160322,20.590129331416556,0.148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2731,1705.0,0.38641003207932345,0.8657219973009447,0.2371364653243848,15.854483695278375,0.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2748,1837.0,0.48068220021205615,1.4156976744186047,0.2881224568882,20.698746179243646,0.119,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2765,1970.0,0.45037327132541916,1.097501523461304,0.2719881744271988,20.009162720034958,0.135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2793,1681.0,0.49210385815044827,1.3190368698269377,0.29414234726013017,20.300084445918998,0.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2809,2110.0,0.4530411959374643,1.1252873563218393,0.2734159779614325,20.837096078934675,0.141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2815,1716.0,0.4157499214218362,1.0498220640569396,0.25326370757180156,17.169710411465214,0.123,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2828,1746.0,0.49124421468590146,1.188911704312115,0.2936893203883495,20.650348500785245,0.142,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2832,1862.0,0.48627366171382047,1.1891542930923178,0.2910717685132305,21.096178186030034,0.151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2841,2198.0,0.40502511436003225,1.1021350259665321,0.24738914569423043,18.907070516824202,0.124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2842,1891.0,0.4369642215492018,0.9896024464831805,0.26477449455676516,18.990072711454115,0.121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2848,1817.0,0.4899281698938163,1.1494178525226393,0.29299610894941636,21.0060024773354,0.155,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2865,1968.0,0.4487383830705476,1.0501792114695339,0.27111111111111114,19.922516574636514,0.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2867,1621.0,0.4575836618549367,1.1652767247915086,0.27585436676345765,18.457522665646934,0.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2869,1850.0,0.4403483499214248,1.0827900912646675,0.2666005946481665,18.936150606757014,0.124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2873,1654.0,0.5087373966239945,1.2301587301587302,0.3028451001053741,20.86116988213802,0.161,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2875,1492.0,0.4407610636708985,0.938345864661654,0.26683046683046685,17.022863653859385,0.103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2880,1972.0,0.45375207499267656,1.1457816377171217,0.27379856380040507,20.17767242204121,0.137,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2897,2131.0,0.42328679184721557,1.0201567749160136,0.2573619097403729,19.49675718386344,0.118,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2925,1869.0,0.47556252070432947,1.1676337846550613,0.2854138787994647,20.642744997882446,0.141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2945,1530.0,0.43826279917578065,1.1344129554655868,0.26548247719635143,17.135449214396587,0.118,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2949,1842.0,0.49283498679791843,1.231023102310231,0.2945231711987744,21.283247809103646,0.144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2951,1800.0,0.45666978234744293,1.1492537313432836,0.2753623188405797,19.40864890129947,0.116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2970,1985.0,0.3714682139253279,0.9621588089330024,0.22882672882672883,16.418218129805883,0.106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2990,1528.0,0.4987521567660833,1.2729468599033815,0.2976327281084808,19.632482851144495,0.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2993,1653.0,0.5106735369893265,1.3543726235741445,0.3038534428300695,20.939448846705357,0.141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3016,2075.0,0.39322823360802583,1.0226595110316041,0.24089994512529725,17.81194059416369,0.151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3028,1794.0,0.49179680299159934,1.0601503759398496,0.2939787485242031,20.957200440305936,0.137,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3042,1828.0,0.47153187490210413,1.0559045226130652,0.2832777886688885,20.23206377576306,0.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3077,1710.0,0.4859379329454142,1.1922535211267604,0.2908977814638192,20.20221738804279,0.121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3081,1542.0,0.5394957229167914,1.335680751173709,0.31875414181577205,21.44672997545684,0.132,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3089,1707.0,0.4447088148651711,1.0648083623693378,0.26895074946466807,18.379394476631244,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
