system:index,GNDVI,GVI,MSR,RDVI,SGI,estimateLAI,.geo
0_163,0.5979899497487438,2.975,0.9692762072618978,23.6,3.8780487804878048,1.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_207,0.626428216592151,3.3537234042553195,0.9789562760666876,26.890432817806296,3.916267942583732,1.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_221,0.6300046019328118,3.4054726368159205,1.1041625412500813,29.424395071673903,4.4275,1.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_227,0.6418966737438075,3.5849802371541504,1.1781589193900912,34.54716981132076,4.74437627811861,1.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_230,0.5826086956521739,2.7916666666666665,0.8881071086165232,26.438181035026428,3.5649484536082476,1.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_241,0.611802674043338,3.1520190023752965,0.8906724007054649,26.61906140419366,3.574642126789366,1.419,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_246,0.6128828544363751,3.1663947797716148,1.1451810650389869,35.8510956796936,4.601801801801802,1.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_301,0.5754809259863058,2.7112135176651306,1.1230785869974678,34.60187817011859,4.507462686567164,1.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_326,0.5706558485463151,2.658267716535433,0.9022040012325954,30.87133173516923,3.6183800623052957,1.199,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_333,0.627677100494234,3.3716814159292037,0.9129190414806528,24.793038409543644,3.6592592592592594,1.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_345,0.5960844925296239,2.951530612244898,0.915885203696734,25.385200848540688,3.670616113744076,1.016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_353,0.5655715449361933,2.60375,0.8924498565688153,34.21764269471984,3.581366459627329,1.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_354,0.5911392405063292,2.891640866873065,0.8308467986153293,21.83275332263567,3.352,1.214,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_364,0.6048387096774194,3.0612244897959187,0.9710485884322979,28.026408505412455,3.8850325379609543,1.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_372,0.623607098638052,3.31359649122807,1.0723802318415199,30.643147263732622,4.294759825327511,1.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_380,0.6422051843738591,3.589795918367347,1.2455736231219376,34.730924343463585,5.042600896860987,1.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_382,0.6208914903196758,3.2755344418052257,1.0459830184114205,29.01136316730243,4.186046511627907,1.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_398,0.6266548984995587,3.3569739952718676,1.0489455035548372,29.390656548895084,4.198177676537585,1.123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_402,0.5859449192782527,2.830275229357798,0.9179192102161914,26.384952625446967,3.6784140969162995,1.186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_432,0.6002220988339811,3.002777777777778,0.9734727245631227,25.166930261679617,3.8945945945945946,1.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_437,0.595340282035561,2.9424242424242424,0.8879575105504456,22.931810813341183,3.5643835616438357,1.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_458,0.6021897810218978,3.0275229357798166,0.8423707273258595,22.498497831901627,3.3943298969072164,1.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_490,0.6310421286031042,3.4206730769230766,1.2508033460254449,31.454131649437784,5.066115702479339,1.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_499,0.6267733721353219,3.3586744639376223,1.2646060070070637,34.82204546403616,5.128440366972477,1.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_503,0.5955345641906398,2.9447983014861996,0.9925073325048193,28.8210597024671,3.97008547008547,1.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_511,0.6072953046177726,3.0928853754940713,1.1218326779092356,32.02207481387212,4.502173913043478,1.405,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_514,0.6076519129782446,3.0975143403441683,1.332184875694087,34.72398627323742,5.439086294416244,1.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_519,0.624633431085044,3.328125,0.9928186482654542,22.25954588127672,3.971326164874552,1.347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_525,0.5752009184845006,2.708108108108108,0.8270740306243738,22.758713886505255,3.338199513381995,1.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_535,0.5779981965734896,2.7393162393162394,1.093395289889821,35.681403153706974,4.382303839732888,1.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_544,0.635791681230339,3.4913627639155473,1.2753002330335392,35.73092694573073,5.176991150442478,1.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_599,0.644901610017889,3.6322418136020147,1.447494231459865,33.070739510068066,5.990228013029316,1.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
