system:index,B2,B8,GVI,RDVI,SGI,estimatefCOVER,.geo
0_1053,221.0,1637.0,3.4483695652173916,29.1700142598019,4.814705882352941,0.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1069,151.0,1173.0,3.130281690140845,24.749786735705374,4.847107438016529,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1085,259.0,1513.0,3.067204301075269,26.28027873516333,4.067204301075269,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1090,211.0,1325.0,3.1798107255520502,24.426217402994627,4.003021148036254,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1093,256.0,1643.0,3.289817232375979,27.58690368457397,4.138539042821159,0.291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1097,204.0,1299.0,3.046728971962617,22.833811621831178,3.5395095367847413,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1110,220.0,1426.0,3.5705128205128203,25.718203450096684,4.145348837209302,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1117,192.0,1398.0,3.629139072847682,26.646090412584325,4.66,0.248,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1139,198.0,1463.0,3.615141955835962,29.867040267485873,6.278969957081545,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1160,172.0,1441.0,3.4067278287461775,29.028568439935082,5.810483870967742,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1189,234.0,1520.0,3.1988950276243093,25.501463915050326,3.781094527363184,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1201,210.0,1727.0,3.718579234972678,31.187363841868525,5.44794952681388,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1215,232.0,1512.0,3.581818181818182,26.565197380149804,4.176795580110498,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1231,307.0,1841.0,3.0550660792951545,29.115765982473782,4.109375,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1244,243.0,1427.0,3.1847507331378297,25.2407434816274,3.963888888888889,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1246,251.0,1501.0,3.325648414985591,26.328192618209762,4.123626373626373,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1308,231.0,1504.0,2.957894736842105,24.83008927356753,3.6153846153846154,0.258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1322,174.0,1398.0,3.598684210526316,29.048934840792622,6.158590308370044,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1385,203.0,1198.0,3.188811188811189,22.967274132189107,3.9022801302931596,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1421,227.0,1523.0,3.3022598870056497,27.59153757243697,4.559880239520958,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1432,215.0,1422.0,3.182352941176471,25.870023215951317,4.2195845697329375,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1446,242.0,1734.0,3.1384248210023866,31.377863415153044,5.522292993630574,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1459,236.0,1401.0,2.9688385269121813,24.041025033439293,3.638961038961039,0.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1463,248.0,1342.0,2.878612716763006,22.844477830317615,3.432225063938619,0.269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1491,151.0,1192.0,3.4477611940298507,23.39667893740621,4.096219931271477,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1497,218.0,1358.0,3.4966887417218544,26.210546191900903,4.63481228668942,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1498,266.0,1652.0,2.961630695443645,27.81171859315052,4.192893401015229,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1532,256.0,1606.0,3.1606217616580308,26.637037110604965,3.9170731707317072,0.239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1545,262.0,1781.0,3.397530864197531,28.870674841792137,4.1905882352941175,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1562,285.0,1581.0,3.1171875,26.127593226693286,3.818840579710145,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1585,159.0,998.0,3.2832618025751072,21.321003939852726,4.056910569105691,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1587,269.0,1400.0,2.6082474226804124,23.842037861780362,3.580562659846547,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1607,250.0,1426.0,2.6752577319587627,23.6221041911285,3.4527845036319613,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1632,208.0,1388.0,3.5359477124183005,26.288787613567564,4.5359477124183005,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1660,248.0,1494.0,3.0597826086956523,25.01948660986643,3.698019801980198,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1679,169.0,1242.0,3.795366795366795,24.222112814237896,4.238907849829351,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1685,275.0,1677.0,3.3900523560209423,27.42122785165315,3.983372921615202,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1704,227.0,1324.0,3.08641975308642,23.366034408539303,3.6373626373626373,0.258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1707,226.0,1513.0,3.45,27.00553210187349,4.347701149425287,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1754,149.0,1019.0,3.1255060728744937,21.880814056854522,4.210743801652892,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1767,231.0,1567.0,3.1236842105263154,27.1975222078931,4.235135135135135,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1775,231.0,1546.0,3.08994708994709,30.06982308703613,5.81203007518797,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1782,231.0,1317.0,2.699438202247191,24.99771207242952,4.262135922330097,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1787,185.0,1489.0,3.567484662576687,27.298664434177123,4.567484662576687,0.261,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1788,268.0,1576.0,3.0618556701030926,25.817136257232804,3.734597156398104,0.217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1790,282.0,1663.0,3.19949494949495,26.640866004033484,3.7709750566893425,0.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1798,263.0,1696.0,3.293670886075949,28.68104768657212,4.3824289405684755,0.334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1802,264.0,1559.0,3.282967032967033,25.923001996688676,3.8117359413202934,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1813,170.0,1221.0,3.522222222222222,23.581992729146737,4.056478405315614,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1824,296.0,1698.0,2.731868131868132,26.705290519744775,3.7074235807860263,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1827,216.0,1375.0,3.179331306990881,25.11831733169415,4.092261904761905,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1839,221.0,1260.0,3.0384615384615383,24.140496645155427,4.131147540983607,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1896,275.0,1615.0,3.10941475826972,25.69338011766964,3.6049107142857144,0.291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1901,203.0,1250.0,3.0983606557377046,23.99747949012608,4.1118421052631575,0.212,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1923,275.0,1681.0,3.244949494949495,26.91838469328646,3.811791383219955,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1932,214.0,1214.0,3.143344709897611,22.825738577110986,3.79375,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1956,177.0,1275.0,3.336734693877551,24.43589019405024,4.194078947368421,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1960,245.0,1790.0,3.0961098398169336,31.534269611404373,5.3273809523809526,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1978,204.0,1270.0,3.3642611683848793,24.778855340897508,4.364261168384879,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1995,269.0,1745.0,3.2874692874692872,29.069172520812767,4.3734335839598995,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2001,236.0,1417.0,3.255255255255255,25.136035520545814,3.958100558659218,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2005,240.0,1688.0,3.361757105943153,28.99494431994145,4.537634408602151,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2033,277.0,1659.0,2.9975903614457833,27.373048492701425,4.016949152542373,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2041,152.0,1092.0,3.3680000000000003,21.921939434535176,3.9,0.249,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2045,226.0,1459.0,3.064066852367688,25.342444595787555,3.9010695187165774,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2049,181.0,1231.0,3.0493421052631575,26.013114543247397,5.238297872340426,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2066,271.0,1646.0,3.0442260442260443,27.029842824196653,3.937799043062201,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2081,238.0,1637.0,3.484931506849315,27.46560055340523,4.113065326633166,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2085,242.0,1484.0,3.3139534883720927,25.063120740747436,3.738035264483627,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2100,197.0,1076.0,2.970479704797048,21.47611532404696,3.788732394366197,0.257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2104,281.0,1554.0,2.837037037037037,25.3499148286179,3.647887323943662,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2105,194.0,1390.0,3.6959459459459456,26.902064912260997,4.826388888888889,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2145,295.0,1624.0,2.7333333333333334,25.441866885195886,3.515151515151515,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2162,235.0,1610.0,3.2819148936170217,28.550119983067002,4.639769452449568,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2172,292.0,1759.0,3.1388235294117646,27.575951079936416,3.8239130434782607,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2175,299.0,1609.0,2.9533169533169534,26.597486922331225,3.8958837772397095,0.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
