system:index,EVI2,NDGI,NDVI,RDVI,SGI,estimateLAI,.geo
0_504,0.8975142624286879,0.06043676993397664,0.48781838316722037,29.317844244429743,2.904864864864865,0.912,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_516,0.515506096064152,0.0026223776223776225,0.30638297872340425,17.573674702611047,1.883435582822086,0.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_532,0.8612064036592337,0.01879927228623408,0.4719321148825065,26.12305185310676,2.7873918417799755,0.793,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_548,0.773205059682879,0.02522445489525438,0.43227091633466136,27.39383709444466,2.5228070175438595,0.811,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_554,0.7204381114419396,0.027182866556836903,0.40772316950852555,25.747968339674152,2.3767993226079596,0.695,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_558,0.9647354272778721,0.06373223292067859,0.5165719696969697,33.573204164613,3.1371204701273263,1.053,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_567,0.9386509812544666,0.07862068965517241,0.5055514433752776,26.278951113973882,3.0449101796407185,0.732,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_583,0.9115490188045394,0.02040816326530612,0.4938956714761376,29.650198907048246,2.9517543859649122,0.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_608,1.1555644653187467,0.07769423558897243,0.5938189845474614,30.95842116548586,3.9239130434782608,1.057,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_610,1.1087307328473652,0.08766485647788984,0.5754512635379061,30.28645430022178,3.7108843537414966,1.111,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_647,0.9194459631857117,0.05904059040590406,0.4972893050763923,31.678538754875667,2.9784313725490197,0.962,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_656,1.0298122750705185,0.039837947332883185,0.5436456996148908,30.346924311165786,3.382559774964838,1.044,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_659,0.8687887501123192,0.034482758620689655,0.4752688172043011,27.115325191025345,2.8114754098360657,0.78,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_674,0.9204712812960235,0.0645933014354067,0.49775208734746307,27.776172079474303,2.9820971867007673,0.901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_680,0.7670344560588462,0.01979045401629802,0.42953929539295393,16.50236083956271,2.505938242280285,0.473,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_711,1.0273306896819843,0.03623580313683072,0.5426078028747433,33.86846461351928,3.372615039281706,1.055,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_732,1.0818100442853105,0.07632093933463796,0.5647094989240701,32.20824971220132,3.5946327683615817,0.958,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_735,0.7081483760383246,0.04671968190854871,0.4019332709697537,22.76163408633072,2.344108446298227,0.688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_755,0.9830245092253826,0.027867095391211148,0.5242591135588776,32.37273494785691,3.2039691289966923,1.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_759,1.0971624215386213,0.0755813953488372,0.5708502024291497,31.078586559078285,3.660377358490566,1.121,"{""type"":""MultiPoint"",""coordinates"":[]}"
