system:index,B2,B8,GVI,RDVI,SGI,estimatefAPAR,.geo
0_2265,253.0,1433.0,2.48661800486618,26.20685851886414,4.316265060240964,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2276,224.0,1393.0,3.3260869565217392,27.834195561637532,5.337164750957855,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2301,308.0,1234.0,2.4957507082152977,21.225736466490194,3.2388451443569553,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2302,333.0,1927.0,3.216630196936543,31.13417324087809,4.599045346062052,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2304,456.0,1414.0,1.5204991087344029,21.489994477706954,2.951983298538622,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2340,485.0,1900.0,2.064516129032258,26.0,3.1666666666666665,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2370,376.0,1749.0,2.50501002004008,24.587209795524945,3.090106007067138,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2375,220.0,1084.0,3.1060606060606064,21.350889094280806,3.712328767123288,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2429,352.0,1829.0,2.658,30.295522300403057,4.583959899749374,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2454,317.0,2033.0,3.517777777777778,30.14986144882102,3.970703125,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2489,249.0,1475.0,3.4832826747720365,26.88853583144361,4.442771084337349,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2517,492.0,2028.0,2.091463414634146,27.042807102980625,3.203791469194313,0.291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2550,247.0,1635.0,3.8088235294117645,30.104715169726063,5.308441558441558,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2585,546.0,2152.0,2.078683834048641,28.303177829049805,3.2955589586523737,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2622,475.0,1951.0,2.1723577235772358,27.861021835073736,3.508992805755396,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2638,287.0,1358.0,2.7410468319559227,26.308291726986628,4.682758620689655,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2664,421.0,1826.0,2.2607142857142857,26.51679655171819,3.4003724394785846,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2678,246.0,1431.0,3.376146788990826,26.676473344667542,4.5284810126582276,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2697,285.0,1717.0,3.3578680203045685,30.685743567005503,5.218844984802431,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2758,603.0,2080.0,1.8454172366621067,26.55317140610782,3.0409356725146197,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2792,607.0,2184.0,1.8290155440414506,27.91511207024164,3.1744186046511627,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2825,317.0,1732.0,2.692963752665245,30.05478251714875,4.837988826815643,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2848,332.0,1806.0,2.097770154373928,25.51217133205148,3.202127659574468,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2864,206.0,1300.0,3.4673539518900345,26.29747773155517,4.980842911877395,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2874,436.0,1271.0,1.5069033530571994,16.50446228158796,2.25354609929078,0.091,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2881,226.0,1107.0,3.0549450549450547,21.858676034176277,3.817241379310345,0.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2891,269.0,1625.0,3.4277929155313354,28.452161015728702,4.539106145251397,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2913,234.0,1272.0,3.5106382978723403,24.946703934655083,4.43205574912892,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2916,328.0,1975.0,3.1231732776617953,31.9370522038941,4.770531400966184,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2970,287.0,1282.0,2.8268656716417913,22.21904488034569,3.40053050397878,0.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2990,623.0,2340.0,1.7824019024970275,29.767559543647515,3.347639484978541,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2997,284.0,1960.0,4.012787723785166,30.89264490708928,4.404494382022472,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3006,384.0,1737.0,2.626304801670146,25.4034205341414,3.289772727272727,0.196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3007,346.0,1507.0,2.4723502304147464,21.784602306165596,2.8704761904761904,0.258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3025,454.0,1840.0,2.087248322147651,26.257318295893395,3.315315315315315,0.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3054,241.0,1247.0,3.241496598639456,25.28839611679948,4.723484848484849,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3069,323.0,2027.0,3.321961620469083,32.298526034884006,4.747072599531616,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3158,359.0,1655.0,2.51380042462845,23.2662962622056,2.955357142857143,0.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3164,243.0,1336.0,2.7111111111111112,23.574462753531563,3.67032967032967,0.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3180,289.0,1518.0,2.8333333333333335,24.419644108891266,3.4657534246575343,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3229,280.0,1606.0,3.2712765957446805,26.92662012555312,4.015,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3234,247.0,1449.0,3.5140186915887854,28.85936307415188,5.638132295719845,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3244,255.0,1494.0,3.4332344213649852,25.70363398432214,3.921259842519685,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3286,348.0,1205.0,2.1962864721485413,20.406910747822476,3.08974358974359,0.269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3288,368.0,1794.0,2.4433781190019195,28.67443924803035,4.086560364464693,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3331,464.0,2007.0,2.2163461538461537,28.483977337804227,3.564831261101243,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3343,405.0,1800.0,2.71900826446281,26.707155187869443,3.495145631067961,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3347,325.0,2052.0,3.5298013245033113,32.39784836649087,4.706422018348624,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3352,248.0,1426.0,3.428571428571429,26.40574100256868,4.428571428571429,0.222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3357,414.0,1921.0,2.250423011844332,29.408163265306122,4.002083333333333,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3368,363.0,1934.0,2.799607072691552,27.410966580387072,3.4290780141843973,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3397,704.0,2354.0,1.7825059101654848,26.244252614201777,2.7213872832369943,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3410,248.0,1435.0,3.4565217391304346,26.552736370569047,4.456521739130435,0.226,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3464,424.0,1689.0,2.0,24.177281476570425,3.0934065934065935,0.188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3470,392.0,1582.0,1.940520446096654,24.184530705054602,3.2753623188405796,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3480,268.0,1550.0,2.914141414141414,30.481137166970818,6.078431372549019,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3496,274.0,1319.0,2.715492957746479,23.687385156847988,3.757834757834758,0.173,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3572,271.0,1650.0,3.3766578249336874,27.205933005461777,3.9855072463768115,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
