system:index,EVI2,GVI,MSR,NDGI,SGI,estimateLAI,.geo
0_9450,0.7399797837742815,2.139917695473251,0.558825296732281,-0.12746858168761221,2.429936305732484,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9465,1.2314065762004176,3.2521613832853022,1.0740658791699522,0.005797101449275362,4.301749271137027,1.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9471,1.1528678099614342,2.901808785529716,0.9778566931012964,0.00129366106080207,3.911917098445596,0.659,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9496,1.0464804768602236,3.0611303344867355,0.8570352241414949,-0.0815677966101695,3.4485798237022527,1.122,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9519,1.016786840919333,2.8833124215809285,0.8252504731018878,-0.07647740440324449,3.3315392895586653,1.197,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9575,1.265268495044941,3.1620029455081005,1.117950491799628,0.0374331550802139,4.485714285714286,1.106,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9617,1.165598878822764,3.2203389830508478,0.992810042635451,-0.030402629416598194,3.971291866028708,1.187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9652,0.7196634189548273,1.5012376237623761,0.5410558438887115,-0.02591922845087402,2.3748531139835487,0.948,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9688,1.0343150560984435,2.598611111111111,0.8439800614951348,-0.02834008097165992,3.400262467191601,1.226,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9742,0.671831723931432,2.4838274932614555,0.49992747141160576,-0.21523003701745108,2.2497824194952134,0.748,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9786,1.235175879396985,2.9875311720698257,1.0788510340141308,0.040207522697795074,4.321621621621621,1.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9793,0.7125440537660848,2.629129129129129,0.5348454278296022,-0.2127659574468085,2.3557504873294346,0.788,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9808,0.9324781792968431,2.3248175182481754,0.7387438248619533,-0.047508690614136734,3.023230088495575,0.805,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9820,0.7030528179858331,2.174937965260546,0.5266306340749798,-0.15336134453781514,2.330601092896175,0.603,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9834,1.0039876025248518,2.3582417582417583,0.8117648699944701,-0.011406844106463879,3.2824919441460794,1.085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9840,0.9260406342913776,1.8824609733700641,0.7323267656376352,0.020140515222482436,3.0009560229445507,1.142,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9970,0.33460803059273425,1.395995550611791,0.2351096108071604,-0.22198182604932928,1.5254957507082152,0.104,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9972,0.32424175904584196,1.3370288248337028,0.22751397739050763,-0.21599304650152107,1.5067905646890636,0.106,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9987,0.9889677748490776,2.191715976331361,0.796128212301094,0.005353955978584176,3.2260765550239237,0.938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,1.5484483850538315,4.232628398791541,1.5565306680350568,0.11073825503355705,6.535849056603774,1.652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_73,1.5120967741935485,4.076785714285714,1.4914701645386055,0.10019646365422397,6.207423580786026,1.754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_74,1.42312661498708,3.808928571428571,1.3443375113978233,0.06666666666666667,5.495918367346939,1.733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_86,1.4051291620019075,3.871345029239766,1.316363411146009,0.04827586206896552,5.365539452495974,1.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_94,1.5336803574824112,3.9902120717781404,1.5297394312375652,0.12373968835930339,6.399581589958159,1.778,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_112,1.615851081812035,4.609794628751975,1.6865367436156067,0.12533333333333332,7.217479674796748,1.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_123,1.3500751234170423,3.612903225806452,1.2346478008068282,0.039634146341463415,4.993650793650794,1.769,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_253,1.3396029753162457,3.859589041095891,1.2197034336445338,0.006896551724137931,4.927083333333333,1.58,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_276,1.5646265970057516,4.245696400625978,1.5866230422067786,0.12105263157894737,6.69061876247505,1.774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_279,1.3570623591284747,3.6028368794326244,1.2447315821221026,0.0452186805040771,5.038819875776397,1.57,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_309,1.376682402571314,3.406807131280389,1.2735878080497678,0.07961504811898512,5.169201520912548,1.553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_315,1.3895786038592508,4.16,1.2930661076194563,0.009421265141318977,5.258152173913044,1.558,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_324,1.3405705629891442,3.7486631016042784,1.2211108331943576,0.01907356948228883,4.933333333333334,1.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_348,1.3803513819862236,3.856037151702786,1.27897095402103,0.0336,5.193708609271523,1.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_375,1.3359359156357735,3.2764857881136953,1.2144307854849976,0.06832298136645963,4.9037037037037035,1.608,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_386,1.310572248346218,3.444,1.1789592120696633,0.03305785123966942,4.747863247863248,1.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_392,1.4430251953296462,4.041009463722397,1.3762666326699613,0.056666666666666664,5.646643109540636,1.628,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_414,1.4795845781761277,4.193771626297578,1.435735273815829,0.06642066420664207,5.932806324110672,1.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_426,1.3199458483754511,3.276410998552822,1.1920032045552504,0.05819295558958652,4.804878048780488,1.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_432,1.4907030317989223,3.987087517934003,1.4544374979906212,0.09419152276295134,6.024263431542461,1.645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_478,1.5538571343603165,4.3218142548596115,1.5667557916789916,0.1063321385902031,6.588235294117647,1.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_481,1.2341570421478925,2.74945295404814,1.0775275947146905,0.0702576112412178,4.316120906801007,1.675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_535,1.4083275017494752,4.068910256410256,1.3212961191784898,0.0305532617671346,5.388415672913117,1.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_549,1.6227835694555823,4.782534246575342,1.700691856002812,0.11556829035339064,7.293736501079914,1.573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_564,1.4028739249003566,3.620786516853933,1.3129188260583118,0.07309721175584025,5.349593495934959,1.495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_575,1.4159743734159391,3.089211618257261,1.333399104571584,0.14218009478672985,5.44475138121547,1.489,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_606,1.4843468873695576,3.946957878315133,1.443716720986575,0.09385665529010238,5.971751412429379,1.743,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_625,1.4471858468476282,3.8373134328358205,1.3824371985959967,0.07977437550362611,5.676007005253941,1.464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_626,1.2559311981020165,3.2172236503856038,1.105655191094635,0.025032938076416336,4.433783783783784,1.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_650,1.4319552110249787,3.9716981132075473,1.3583903996253153,0.05603985056039851,5.562005277044855,1.621,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_655,1.309351002060311,2.8995873452544703,1.1773384384576697,0.09735849056603774,4.740802675585284,1.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_694,1.433012924948409,3.9103053435114505,1.3599288271606984,0.06288032454361055,5.56926406926407,1.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_702,1.417637738934887,3.5740740740740744,1.3357703853702512,0.08791208791208792,5.455823293172691,1.712,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_719,1.1800393528640138,2.8561827956989245,1.010185332356829,0.023383768913342505,4.040845070422535,1.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_748,1.2487568935900915,3.134393063583815,1.0963724062639748,0.03052866716306776,4.394777265745008,1.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_767,1.4806079664570233,3.822530864197531,1.4374299248969742,0.10391822827938671,5.94106463878327,1.478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_804,1.5488594762038863,3.6855670103092786,1.5572579739486083,0.16516516516516516,6.539568345323741,1.764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_834,1.3780197346036065,3.78042328042328,1.2754451058637797,0.039889958734525444,5.177650429799427,1.618,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_877,1.3819032916687415,3.6262626262626263,1.2813472893326552,0.058823529411764705,5.204545454545454,1.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_905,1.4496209050593678,4.121527777777778,1.386415867987115,0.05301645338208409,5.694980694980695,1.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_938,1.2851512271482082,3.2039355992844367,1.1444873120870975,0.044859813084112146,4.598825831702544,1.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_941,1.4588859416445623,3.85273492286115,1.4013884872437168,0.08606245239908607,5.766666666666667,1.552,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_989,1.48706517275767,3.3464285714285715,1.4484839986460225,0.15942028985507245,5.995073891625616,1.574,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_993,1.196362837206747,2.885135135135135,1.0302373751074414,0.029565217391304348,4.121863799283154,1.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1030,1.472524493668435,4.3130434782608695,1.4238399287081644,0.0502283105022831,5.875,1.752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1055,1.4856105781695619,4.003636363636364,1.4459371814607533,0.0891089108910891,5.982608695652174,1.598,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1088,1.312154696132597,3.5638297872340425,1.1812509765157315,0.02081447963800905,4.757855822550832,1.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1095,1.3684061259217244,2.8905405405405404,1.2613440100510938,0.13584036838066002,5.113676731793961,1.717,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1103,1.4950483907269863,3.2426666666666666,1.4619001565767002,0.17647058823529413,6.060952380952381,1.727,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1147,1.3047107823776525,3.3928571428571432,1.1708624272765236,0.03512014787430684,4.712643678160919,1.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1170,1.4037765716870196,3.853736089030207,1.314333673193473,0.04920767306088407,5.356140350877193,1.399,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1188,1.4870230486151461,3.567534076827757,1.4481617460779321,0.1350210970464135,5.993495934959349,1.671,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1203,1.4291514413317095,3.295,1.3541315774338034,0.1267605633802817,5.541935483870968,1.572,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1225,1.4697814255617978,3.6894049346879534,1.4193513323957763,0.11039484286865431,5.853260869565218,1.681,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1238,1.5955768110312682,4.287931034482758,1.6461827421821855,0.13948919449901767,7.002283105022831,1.687,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1298,1.3524689365822171,3.8215827338129493,1.238072521136317,0.01906158357771261,5.00896860986547,1.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1315,1.4912915577138588,4.354895104895105,1.4555096332645732,0.05925925925925926,6.0295275590551185,1.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1322,1.4748633667971625,3.8173455978975035,1.4277336499791649,0.1005061460592914,5.893890675241158,1.765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1360,1.6591741946480312,4.1794500723589,1.777294019178653,0.19653679653679654,7.713362068965517,1.713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1390,1.577772859724835,4.500685871056241,1.6114608729897644,0.1070615034168565,6.819727891156463,1.753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1485,1.4136257497367337,3.868167202572347,1.3294899221698813,0.05423728813559322,5.426523297491039,1.608,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1502,1.530393128510076,3.504098360655738,1.5240868631553914,0.1716686674669868,6.371014492753623,1.605,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1508,1.4754604672057503,3.3940972222222223,1.428943576900645,0.14626865671641792,5.8997668997669,1.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1517,1.4307262077773375,3.696296296296296,1.356196882225859,0.08346709470304976,5.551663747810858,1.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1520,1.3814049181933965,3.7020202020202024,1.280595825313147,0.050397877984084884,5.201117318435754,1.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1528,1.2966109273003668,3.0731034482758623,1.1598812207701847,0.06774668630338733,4.665086887835703,1.567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1537,1.4239871640593662,3.863694267515924,1.3455150654366308,0.06152805949966193,5.501440922190202,1.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1575,1.5282013832209287,4.4396135265700485,1.5198460389774562,0.07718993928881179,6.349624060150376,1.654,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1595,1.6639556499800823,4.667487684729064,1.7881263688449718,0.15669515669515668,7.773648648648648,1.554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1606,1.385606874328679,3.8406676783004556,1.2868117973985773,0.038613081166272656,5.229508196721311,1.561,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1626,1.536207932692308,4.4781906300484655,1.5342352860080857,0.07933740191804708,6.422348484848484,1.743,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1633,1.2026993458640391,3.3728571428571428,1.0379706297325892,-0.025748086290883786,4.153324287652646,1.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1634,1.4054185243779664,3.5318396226415096,1.3167473828093967,0.08439897698209718,5.36731843575419,1.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
