system:index,B4,EVI2,NDGI,NDVI,RDVI,estimatefAPAR,.geo
1_6193,1361.0,0.6449001186391766,-0.1891655744866754,0.3715077349341953,24.44904794688579,0.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6297,1412.0,0.5183399914160257,-0.1683905668183699,0.307843137254902,19.663442740073695,0.154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6308,1866.0,0.48671218620707163,-0.17543307086614174,0.2913026965438663,21.139024019530584,0.184,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6312,1866.0,0.5218594907349677,-0.1702728127939793,0.30965593784683687,22.767609447537634,0.222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6321,1185.0,0.8713223407694795,-0.06901217861975643,0.4763588157313301,32.047302643385564,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6341,1083.0,0.723833957023263,-0.0504364694471387,0.40932642487046633,24.78707251231113,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6361,1310.0,0.6896131339401821,-0.13518197573656845,0.3930970581422284,25.828002394055982,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6366,1936.0,0.4230604209782445,-0.19950433705080545,0.2572415116056014,18.573122167883124,0.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6434,1850.0,0.4797687861271676,-0.21271714192068175,0.287639584135541,20.730015405167894,0.235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6452,1616.0,0.6557575106720005,-0.15717866093805943,0.3767836482838411,27.13365527802374,0.265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6456,1150.0,0.8436388277147213,-0.1036468330134357,0.4641192917054986,30.40601304145865,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6462,1663.0,0.61271892353695,-0.1715392743923917,0.35567609453700116,25.554281628915618,0.252,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6518,1435.0,0.7024458523648152,-0.1232876712328767,0.39920452166631776,27.591357755965326,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6544,1721.0,0.5529383583519643,-0.15736381977135172,0.3256269592476489,23.26353383021575,0.211,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6553,1163.0,0.8314771691809254,-0.10761904761904761,0.45869211077495925,30.067958865500746,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6581,1857.0,0.5023535961937541,-0.18054672600127145,0.2995096190116937,21.80874308598663,0.187,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6601,983.0,0.7714262078093979,-0.0784421283598464,0.43146327356853675,25.372094989658553,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6619,844.0,0.8324426061901663,-0.08413615928066795,0.45914770906760655,25.650705001887964,0.224,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6659,1244.0,0.7837601012559634,-0.1752479924421351,0.43710407239819005,29.060025255895823,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6664,1355.0,0.7603443068559347,-0.11752577319587629,0.4263336155800169,29.302489685659037,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6691,1829.0,0.5759998020194022,-0.12692544670363523,0.3373188405797101,25.061677540807604,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6729,974.0,0.7073123214131093,-0.06042460533478498,0.40153609831029186,22.908681334628394,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6736,1767.0,0.5566120727573806,-0.19877883310719133,0.3274976213130352,23.740754121967854,0.203,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6784,1322.0,0.4853194235319424,-0.16887709991158267,0.2905822377247116,17.739801674648525,0.194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6804,1718.0,0.6732164298579147,-0.11812561015294501,0.3852209697620326,28.798971299295676,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6811,1631.0,0.6957998282457647,-0.177192349332371,0.3960377707831883,29.105408289615863,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6833,1590.0,0.6454932089449856,-0.18435754189944134,0.37178980640063214,26.452002110350545,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6855,1672.0,0.615987169971371,-0.16678297278436846,0.3572938689217759,25.77225838621019,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6868,1233.0,0.8413499572798329,-0.09018567639257294,0.46309601567602876,31.38479289947463,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6870,1464.0,0.6488339579986911,-0.028089887640449437,0.3734217847207361,25.52686847887309,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6889,1512.0,0.7222575648614261,-0.14328922495274102,0.40856639937414435,29.214640307431264,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6894,1480.0,0.4829272202629048,-0.08584005869405723,0.2893157262905162,18.671514405105764,0.219,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6906,876.0,0.7699633018999397,-0.14435009797517961,0.43079922027290446,23.90062271326568,0.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6909,1289.0,0.7323053100200012,-0.1691609977324263,0.41329085116067366,27.395915493149403,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6911,1805.0,0.5174418604651163,-0.16301546391752578,0.307367613200307,22.19015358997976,0.201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6958,1394.0,0.7631602086874962,-0.1134185303514377,0.4276329295832478,29.845592510819834,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6970,1814.0,0.4409447767571032,-0.18717277486910994,0.2669226106284098,18.777773260962796,0.172,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6984,914.0,0.7526531162874359,-0.0985576923076923,0.422797600252605,23.793402168211216,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6995,1613.0,0.741066160437136,-0.0735440931780366,0.41737402925772077,31.057227526207047,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7064,1204.0,0.6042114230683754,-0.05753184014053579,0.35146781578238623,21.416477291936086,0.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7131,808.0,0.9177375523927964,-0.04460245636716225,0.4965732087227414,28.134279708285582,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7163,1510.0,0.5265180630284396,-0.1673753382296096,0.3120728929384966,20.677037102199638,0.154,"{""type"":""MultiPoint"",""coordinates"":[]}"
