system:index,B8,EVI,GVI,RDVI,SGI,estimatefAPAR,.geo
0_1010,1598.0,9.156785243741766,3.8571428571428568,32.70814597078331,7.6826923076923075,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1011,1499.0,7.198697068403908,4.411552346570397,32.428390007351574,8.664739884393063,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1021,1795.0,4.856361149110807,3.0610859728506785,30.483054142617522,4.786666666666667,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1026,2176.0,4.622030237580994,3.044609665427509,33.31975481011318,4.689655172413793,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1035,1577.0,8.025551684088269,4.1035598705501615,32.83040076585957,8.087179487179487,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1049,1433.0,10.74742268041237,3.8087248322147653,31.12942124217964,7.873626373626373,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1060,1766.0,5.3921568627450975,3.2451923076923075,31.190309310137277,5.255952380952381,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1061,1348.0,7.321652065081352,4.011152416356877,29.950811575374566,7.573033707865169,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1064,1636.0,9.881118881118882,3.6876790830945563,32.7719638375677,7.336322869955157,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1070,1634.0,5.138282387190685,4.375,32.77522718824966,7.36036036036036,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1090,1424.0,5.713627992633517,4.393939393939394,30.957354692917065,7.781420765027322,0.366,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1102,1428.0,8.74115983026874,3.808080808080808,30.70866689099711,7.4375,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1110,1265.0,10.242085661080074,3.7735849056603774,29.08872369413698,7.666666666666667,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1117,1415.0,8.448509485094851,4.164233576642336,31.341948744541966,8.422619047619047,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1125,1559.0,6.343632958801498,4.196666666666666,32.2710531825514,7.642156862745098,0.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1131,1427.0,5.266143106457243,3.9206896551724135,29.741335801405647,6.486363636363636,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1147,1538.0,9.513590844062946,3.7323076923076925,31.82947836538639,7.394230769230769,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1153,1444.0,7.099109131403118,4.388059701492537,31.746291600408657,8.544378698224852,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1202,1496.0,6.457711442786069,4.140893470790378,31.536826545666077,7.555555555555555,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1214,1460.0,7.793939393939394,4.232974910394265,31.813755752497368,8.39080459770115,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1245,1441.0,7.843631778058008,3.851851851851852,30.73713833088033,7.314720812182741,0.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1265,1405.0,6.358350951374208,3.9125874125874125,30.009426023834994,6.955445544554456,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1274,1553.0,6.9753086419753085,4.176666666666667,32.41459988514875,7.883248730964467,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1286,1595.0,6.192375886524823,4.388513513513513,32.991819026834314,8.055555555555555,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1291,1507.0,5.230263157894736,3.8928571428571432,30.476355857623545,6.412765957446808,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1292,1400.0,8.951965065502183,4.054151624548736,31.042399605191726,8.235294117647058,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1294,1270.0,7.422818791946309,4.059760956175299,29.2065696359975,7.7439024390243905,0.348,"{""type"":""MultiPoint"",""coordinates"":[]}"
