system:index,B4,B8,NDGI,RDVI,SGI,estimatefCOVER,.geo
0_2934,526.0,1996.0,0.09931506849315068,29.271487562807117,3.79467680608365,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2941,267.0,1204.0,0.12745098039215685,24.430550577004627,4.50936329588015,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2979,414.0,1752.0,0.11914893617021277,28.74927434950783,4.231884057971015,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3010,932.0,2389.0,-0.023613399231191653,25.28279678574434,2.563304721030043,0.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3036,871.0,2631.0,0.006274957216200799,29.74093357042118,3.020665901262916,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3038,535.0,1872.0,0.07037358818418767,27.251685113107165,3.499065420560748,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3069,389.0,1688.0,0.0984936268829664,28.503021657722655,4.339331619537275,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3094,716.0,2280.0,0.053536021150033045,28.573658123957102,3.184357541899441,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3117,291.0,1050.0,-0.031914893617021274,20.726567589131722,3.6082474226804124,0.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3209,867.0,2539.0,0.02254791431792559,28.649295788004306,2.928489042675894,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3227,863.0,2662.0,0.005187319884726225,30.30062611997335,3.0845886442641945,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3263,589.0,2214.0,0.02564102564102564,30.693175061601433,3.7589134125636674,0.269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3271,557.0,2128.0,0.027074235807860263,30.31824373484941,3.8204667863554755,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3275,742.0,1999.0,0.009345794392523364,24.009369750710675,2.6940700808625335,0.186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3314,502.0,1984.0,0.1099290780141844,29.72334220105413,3.952191235059761,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3322,584.0,2156.0,0.07080350039777247,30.031516292104197,3.691780821917808,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3327,614.0,2285.0,0.08221225710014948,31.03504234011574,3.721498371335505,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3351,717.0,1730.0,-0.009148486980999296,20.478232086162727,2.4128312412831243,0.108,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3381,326.0,1682.0,0.10807113543091655,30.260620933531232,5.159509202453988,0.291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3414,552.0,1987.0,-0.04150943396226415,28.478725571230903,3.5996376811594204,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3437,756.0,2381.0,0.049654305468258955,29.01323167743478,3.1494708994708995,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
