system:index,B8,GVI,NDGI,RDVI,SGI,estimatefAPAR,.geo
7_8800,3106.0,5.537254901960784,0.2960609911054638,50.87233765318476,12.036101083032491,0.637,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8823,2989.0,6.928753180661578,0.35517241379310344,50.96418515322127,16.663101604278076,0.627,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8837,2866.0,8.141955835962145,0.2965235173824131,49.19904397789415,16.848837209302324,0.646,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8860,2588.0,7.91,0.30151843817787416,47.18671152486364,16.60248447204969,0.618,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8875,3285.0,6.913043478260869,0.3290529695024077,51.95320982843853,15.674641148325358,0.636,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8880,3117.0,6.489749430523918,0.30460624071322434,51.46054210292003,14.051282051282051,0.649,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8882,2895.0,7.203389830508474,0.33584905660377357,49.155147964669695,16.5,0.649,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8887,2627.0,8.080536912751677,0.31277533039647576,47.665633097823765,17.346153846153847,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8893,2793.0,8.232919254658386,0.27524752475247527,49.66331510199608,16.24590163934426,0.644,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8897,2776.0,8.5,0.2948453608247423,50.07079325664211,17.444444444444443,0.646,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8905,2880.0,7.878594249201278,0.34913793103448276,48.55025895967183,18.403973509933774,0.629,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8908,2768.0,8.652920962199312,0.32574031890660593,48.9349571414572,18.97972972972973,0.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8915,2671.0,7.057401812688822,0.3213572854291417,46.88013724639786,15.688235294117646,0.626,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8927,2909.0,6.183333333333334,0.31868131868131866,49.23659639173309,13.903225806451612,0.627,"{""type"":""MultiPoint"",""coordinates"":[]}"
