system:index,B4,B8,GVI,NDGI,RDVI,estimatefAPAR,.geo
0_1464,88.0,1109.0,6.6482758620689655,0.2446351931330472,29.510642629470883,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1554,1116.0,2405.0,1.608459869848156,-0.09519136408243375,21.723005132860234,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1565,162.0,940.0,3.7,0.10497237569060773,23.436286568709463,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1576,709.0,2322.0,1.9579617834394902,0.050870147255689425,29.29823102410003,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1580,836.0,1406.0,1.0706921944035348,-0.10363036303630363,12.038075188222084,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1590,886.0,2368.0,1.6223698781838318,0.009502515371716043,25.980016905817283,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1597,643.0,2604.0,2.933534743202417,0.014559386973180077,34.41410261629852,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1624,792.0,1944.0,1.3765281173594133,0.016149068322981366,22.02391045157393,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1673,513.0,1684.0,2.2572533849129592,0.003883495145631068,24.982843453067048,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1675,303.0,1741.0,3.185096153846154,0.1571627260083449,31.806687379153857,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1691,564.0,2444.0,2.7657935285053927,0.07007419620774938,34.27827300200522,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1711,956.0,2421.0,1.5350785340314137,-5.232862375719519E-4,25.209956388213904,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1718,916.0,1654.0,1.297222222222222,-0.1198044009779951,14.557600606163101,0.088,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1735,758.0,1887.0,1.8504531722054383,-0.0676056338028169,21.952354318237067,0.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1753,717.0,2409.0,2.3929577464788734,-0.004905395935529082,30.262574518813132,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1763,94.0,900.0,4.2631578947368425,0.29056603773584905,25.564767631730714,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1765,134.0,911.0,3.297169811320755,0.2254335260115607,24.03603753696663,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1776,582.0,2459.0,3.0245499181669393,0.024308466051969825,34.03737524421192,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1782,581.0,2416.0,2.871794871794872,0.03568464730290456,33.51912685614784,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1784,1107.0,2059.0,0.8959484346224678,-0.009575923392612859,16.91926501781012,0.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1794,98.0,891.0,4.97986577181208,0.20647773279352227,25.215932979693623,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1796,586.0,1845.0,2.63905325443787,-0.07227813357731015,25.534846453059483,0.175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1797,1089.0,1992.0,0.8444444444444446,-0.004149377593360996,16.268289834468366,0.217,"{""type"":""MultiPoint"",""coordinates"":[]}"
