system:index,EVI2,GVI,NDGI,RDVI,SGI,estimateLAI,.geo
6_2139,1.8391872702973604,5.881625441696113,0.2068230277185501,53.932595573038235,10.470430107526882,2.752,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2143,1.9009126466753585,5.866379310344827,0.26430517711171664,49.60216729135936,11.8,2.799,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2163,1.8311273051754908,5.435103244837758,0.23160762942779292,56.95211733583471,10.314420803782506,2.746,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2242,1.914558266029339,6.352087114337568,0.24519774011299436,56.13164401227791,12.12874251497006,2.553,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2254,1.86803549319026,5.526229508196721,0.25773195876288657,54.95834321190093,11.058333333333334,2.59,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2270,1.911772126349783,6.138228941684665,0.2564450474898236,50.66465470777714,12.062043795620438,2.65,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2307,1.7042587056950966,4.970104633781764,0.16246741963509992,52.493975993812505,8.28630705394191,2.651,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2328,1.8792300011095087,5.726244343891403,0.25390070921985813,47.63926302907118,11.304182509505704,2.585,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2418,1.7157311182669788,4.734501347708895,0.19101123595505617,54.37374069569904,8.442460317460318,2.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2421,1.7622671056858334,5.54983388704319,0.1644100580270793,53.08133058941587,9.127314814814815,2.571,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2426,2.0327308508985444,5.521400778210117,0.41597796143250687,52.596978998565426,15.81132075471698,2.783,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2451,1.8412463509568602,5.4446227929374,0.23980099502487562,54.788216728510136,10.510471204188482,2.699,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2455,1.8416409351565948,4.8166189111747855,0.2878228782287823,55.100358280877465,10.518134715025907,2.687,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2512,1.8302260117493474,5.669463087248322,0.21384928716904278,54.3476055906118,10.297927461139896,2.715,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2525,1.847083418315317,5.175675675675675,0.26495726495726496,48.985140604064824,10.627906976744185,2.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2533,1.82084667122253,5.36543909348442,0.22782608695652173,57.634095315983394,10.121621621621621,2.601,"{""type"":""MultiPoint"",""coordinates"":[]}"
