system:index,B2,B8,NDGI,RDVI,SGI,estimatefCOVER,.geo
7_6101,303.0,2788.0,0.13833157338965152,42.09917369179489,6.833333333333333,0.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6112,343.0,2841.0,0.12301587301587301,41.869213858682315,6.427601809954751,0.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6154,289.0,2542.0,0.2322503008423586,41.56047799295799,7.968652037617555,0.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6169,292.0,2555.0,0.21490683229813665,41.786644401005255,8.085443037974683,0.527,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6176,245.0,2299.0,0.27666666666666667,41.50738819824424,10.59447004608295,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6182,326.0,2937.0,0.09664292980671414,42.87456167754609,6.614864864864865,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6188,297.0,2486.0,0.23809523809523808,41.30975741090318,8.177631578947368,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6220,308.0,2783.0,0.14754098360655737,42.482264889353715,7.135897435897436,0.541,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6264,283.0,2485.0,0.20298879202988793,40.87817211467166,7.765625,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6300,346.0,2845.0,0.10204081632653061,41.438778476893965,6.158008658008658,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6303,377.0,2625.0,0.20692640692640693,39.02762729794495,5.7314410480349345,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6308,272.0,2499.0,0.23393316195372751,41.61729120716818,8.385906040268456,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6312,317.0,2793.0,0.18984547461368653,43.156603261416336,7.610354223433243,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6326,251.0,2479.0,0.2420749279538905,42.319061786833956,9.425855513307985,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6327,325.0,2700.0,0.16707616707616707,42.82828036718573,7.964601769911504,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6401,355.0,2713.0,0.07827788649706457,39.73279154071722,5.7600849256900215,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6403,270.0,2597.0,0.2359249329758713,43.06662527239084,9.112280701754386,0.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6433,341.0,2864.0,0.07326732673267326,41.508239827646705,6.119658119658119,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6436,375.0,2754.0,0.11519845111326234,40.53599543851387,6.0262582056892775,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6582,294.0,2623.0,0.15130023640661938,41.45936088464356,7.306406685236769,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6602,279.0,2454.0,0.2223667100130039,41.0718408807167,8.207357859531772,0.528,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6622,331.0,2661.0,0.15171650055370986,41.288717743201865,6.947780678851175,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6635,295.0,2513.0,0.10697674418604651,39.55500227581458,6.544270833333333,0.544,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6660,256.0,2335.0,0.26907630522088355,40.3770761968792,8.553113553113553,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6665,313.0,2454.0,0.26666666666666666,41.71146681556755,8.923636363636364,0.542,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6668,289.0,2500.0,0.24120603015075376,41.523468420798814,8.278145695364238,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6741,358.0,2734.0,0.13008130081300814,41.00892360580521,6.38785046728972,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6756,307.0,2409.0,0.2679900744416873,40.65384615384615,8.166101694915254,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6758,255.0,2340.0,0.24960753532182103,41.37141559933974,9.790794979079498,0.542,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6769,310.0,2692.0,0.17089305402425578,41.812956576631485,7.159574468085107,0.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6847,282.0,2456.0,0.22802547770700637,40.98908083986681,8.105610561056105,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6896,318.0,2820.0,0.11811023622047244,42.84112966570354,7.1938775510204085,0.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6943,249.0,2539.0,0.2507836990595611,43.63768623778287,10.623430962343097,0.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6950,353.0,2771.0,0.11070110701107011,40.133197382269366,5.74896265560166,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6966,251.0,2631.0,0.21727748691099477,43.0818888485368,8.799331103678929,0.544,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6981,240.0,2232.0,0.23529411764705882,40.23453141578979,9.538461538461538,0.527,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6995,246.0,2318.0,0.315541601255887,41.700827216450726,10.63302752293578,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7001,272.0,2273.0,0.2883435582822086,40.77924112812826,9.797413793103448,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7012,306.0,2878.0,0.13090128755364808,43.16071941330612,7.106172839506173,0.544,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7026,238.0,2434.0,0.26506024096385544,42.319334401985046,9.975409836065573,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
