system:index,EVI2,GI,MSR,RDVI,SGI,estimatefAPAR,.geo
9_1729,1.8402742117695388,1.8112582781456954,2.2393483115348536,48.66316887143317,10.493377483443709,0.584,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1740,1.8173554196006003,1.920863309352518,2.171931758272345,45.42611619454524,10.06115107913669,0.548,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1748,1.7097955372063307,1.4761904761904763,1.891787312793571,46.78136881204732,8.362433862433862,0.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1749,1.7587269602323239,1.7619047619047619,2.0124458388447066,43.6202537375041,9.07482993197279,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1827,1.738634316257282,1.7348993288590604,1.961724511249639,42.91833543467776,8.771812080536913,0.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1847,1.9923191599688876,1.983695652173913,2.7900040151406977,46.24828412958715,14.36413043478261,0.596,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1873,1.7738621997471555,1.6888888888888889,2.052018154404527,42.54061318549001,9.314814814814815,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1887,1.9050045289855073,1.9149797570850202,2.449461613803119,47.69272857649199,11.898785425101215,0.608,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1903,1.990021328458257,2.038135593220339,2.7794044908007325,52.19927535036148,14.283898305084746,0.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1924,1.7876732101616626,1.8586206896551725,2.0889123183322686,44.800028184719395,9.541379310344828,0.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1978,1.745922167993835,1.8007246376811594,1.9800058360024557,41.65016174755339,8.880434782608695,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1988,1.8707145690485636,1.78544061302682,2.3344825605122237,46.95899624657255,11.118773946360154,0.563,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1989,1.937176538240368,1.934782608695652,2.566145160302343,47.979872298707896,12.717391304347826,0.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1991,1.9384017447712785,2.016949152542373,2.5707142142714248,48.679097623667445,12.75,0.585,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1992,1.850340928958564,1.8053435114503817,2.2702685652021946,45.886965219150184,10.694656488549619,0.574,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2049,2.025181471226521,2.214765100671141,2.9408376447504,43.624021103226816,15.53020134228188,0.578,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2066,1.7886351244926393,1.7246376811594204,2.091596838931744,43.75574871536001,9.557971014492754,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2081,1.6758034574776657,1.652694610778443,1.8141005093362794,42.34134932155473,7.919161676646707,0.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2115,1.7391486042235471,1.8224299065420562,1.9629067145924368,44.567973220892135,8.778816199376948,0.563,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2143,1.78826416778224,1.7306666666666666,2.090199562056362,50.9724345100238,9.549333333333333,0.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
